cik,name,alias
0000029989,OMNICOM GROUP INC.,OMNICOM GROUP INC
0000030305,DUCOMMUN INC /DE/,
0000030371,"Duke Energy Carolinas, LLC",
0000030371,"Duke Energy Carolinas, LLC",DUKE ENERGY CORP
0000030371,"Duke Energy Carolinas, LLC",DUKE POWER CO /NC/
0000030371,"Duke Energy Carolinas, LLC",Duke Power CO LLC
0000030554,"EIDP, Inc.",
0000030554,"EIDP, Inc.",DUPONT E I DE NEMOURS & CO
0000030625,FLOWSERVE CORP,
0000030625,FLOWSERVE CORP,DURCO INTERNATIONAL INC
0000030625,FLOWSERVE CORP,DURIRON CO INC
0000030625,FLOWSERVE CORP,THE DURIRON CO INC
0000030697,Wendy's Co,
0000030697,Wendy's Co,DWG CORP
0000030697,Wendy's Co,TRIARC COMPANIES INC
0000030697,Wendy's Co,"WENDY'S/ARBY'S GROUP, INC."
0000031107,EASTERN CO,
0000031235,EASTMAN KODAK CO,
0000031462,ECOLAB INC.,
0000031462,ECOLAB INC.,ECOLAB INC
0000031462,ECOLAB INC.,ECONOMICS LABORATORY INC
0000031667,EDUCATIONAL DEVELOPMENT CORP,
0000031667,EDUCATIONAL DEVELOPMENT CORP,INTERNATIONAL TEACHING TAPES INC
0000031667,EDUCATIONAL DEVELOPMENT CORP,TUTOR TAPES INTERNATIONAL CORP
0000031791,"REVVITY, INC.",
0000031791,"REVVITY, INC.",EDGERTON GERMESHAUSEN & GRIER INC
0000031791,"REVVITY, INC.",EG&G INC
0000031791,"REVVITY, INC.",PERKINELMER INC
0000032604,EMERSON ELECTRIC CO,
0000032604,EMERSON ELECTRIC CO,EMERSON ELECTRIC MANUFACTUING CO
0000032621,EMERSON RADIO CORP,
0000032621,EMERSON RADIO CORP,MAJOR ELECTRONICS CORP
0000033002,"ENNIS, INC.",
0000033002,"ENNIS, INC.",ENNIS BUSINESS FORMS INC
0000033002,"ENNIS, INC.",ENNIS TAG & SALESBOOK CO
0000033185,EQUIFAX INC,
0000033185,EQUIFAX INC,RETAIL CREDIT CO
0000033213,EQT Corp,
0000033213,EQT Corp,EQT Corp /PA/
0000033213,EQT Corp,EQUITABLE GAS CO
0000033213,EQT Corp,EQUITABLE RESOURCES INC /PA/
0000033488,ESCALADE INC,
0000033488,ESCALADE INC,MARTIN YALE BUSINESS MACHINES CORP
0000033488,ESCALADE INC,MARTIN YALE INDUSTRIES INC
0000033488,ESCALADE INC,WILLIAMS MANUFACTURING CO
0000033533,ESPEY MFG & ELECTRONICS CORP,
0000033533,ESPEY MFG & ELECTRONICS CORP,ESPEY MANUFACTURING & ELECTRONICS CORP
0000033992,"KINGSTONE COMPANIES, INC.",
0000033992,"KINGSTONE COMPANIES, INC.",DCAP GROUP INC
0000033992,"KINGSTONE COMPANIES, INC.",DCAP GROUP INC/
0000033992,"KINGSTONE COMPANIES, INC.",EXTECH CORP
0000034067,DMC Global Inc.,
0000034067,DMC Global Inc.,DYNAMIC MATERIALS CORP
0000034067,DMC Global Inc.,EXPLOSIVE FABRICATORS INC
0000034088,EXXON MOBIL CORP,
0000034088,EXXON MOBIL CORP,EXXON CORP
0000034088,EXXON MOBIL CORP,STANDARD OIL CO OF NEW JERSEY
0000034285,RELIABILITY INC,
0000034285,RELIABILITY INC,FAIRLANE INDUSTRIES INC
0000034563,FARMER BROTHERS CO,
0000034782,1ST SOURCE CORP,
0000034782,1ST SOURCE CORP,FBT BANCORP INC
0000034903,FEDERAL REALTY INVESTMENT TRUST,
0000034956,"TENAX THERAPEUTICS, INC.",
0000034956,"TENAX THERAPEUTICS, INC.","OXYGEN BIOTHERAPEUTICS, INC."
0000034956,"TENAX THERAPEUTICS, INC.",SINEQUANON CORP
0000034956,"TENAX THERAPEUTICS, INC.",SYNTHETIC BLOOD INTERNATIONAL INC
0000035527,FIFTH THIRD BANCORP,
0000036029,FIRST FINANCIAL BANKSHARES INC,
0000036104,US BANCORP \DE\,
0000036104,US BANCORP \DE\,FIRST BANK STOCK CORP
0000036104,US BANCORP \DE\,FIRST BANK SYSTEM INC
0000036146,TRUSTMARK CORP,
0000036146,TRUSTMARK CORP,FIRST CAPITAL CORP
0000036270,M&T BANK CORP,
0000036270,M&T BANK CORP,FIRST EMPIRE STATE CORP
0000036377,"FIRST HAWAIIAN, INC.",
0000036377,"FIRST HAWAIIAN, INC.",BANCWEST CORP/HI
0000036377,"FIRST HAWAIIAN, INC.",FIRST HAWAIIAN INC
0000036840,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,
0000036966,FIRST HORIZON CORP,
0000036966,FIRST HORIZON CORP,FIRST HORIZON NATIONAL CORP
0000036966,FIRST HORIZON CORP,FIRST TENNESSEE BANKS INC
0000036966,FIRST HORIZON CORP,FIRST TENNESSEE NATIONAL CORP
0000037472,FLEXSTEEL INDUSTRIES INC,
0000037634,FLORIDA POWER & LIGHT CO,
0000037637,"DUKE ENERGY FLORIDA, LLC",
0000037637,"DUKE ENERGY FLORIDA, LLC","DUKE ENERGY FLORIDA, INC."
0000037637,"DUKE ENERGY FLORIDA, LLC","DUKE ENERGY FLORIDA, LLC."
0000037637,"DUKE ENERGY FLORIDA, LLC",FLORIDA POWER CORP
0000037785,FMC CORP,
0000037785,FMC CORP,BEAN SPRAY PUMP CO
0000037785,FMC CORP,FOOD MACHINERY & CHEMICAL CORP
0000037808,FNB CORP/PA/,
0000037808,FNB CORP/PA/,CITIZENS BUDGET CO
0000037808,FNB CORP/PA/,FNB CORP/FL/
0000037808,FNB CORP/PA/,FNB CORP/PA
0000037996,FORD MOTOR CO,
0000038009,FORD MOTOR CREDIT CO LLC,
0000038009,FORD MOTOR CREDIT CO LLC,FORD MOTOR CREDIT CO
0000038264,"Forward Industries, Inc.",
0000038264,"Forward Industries, Inc.",FORWARD INDUSTRIES INC
0000038264,"Forward Industries, Inc.",PROGRESS HEAT SEALING CO INC
0000038723,1st FRANKLIN FINANCIAL CORP,
0000038723,1st FRANKLIN FINANCIAL CORP,FIRST FRANKLIN FINANCIAL CORP
0000038723,1st FRANKLIN FINANCIAL CORP,FRANKLIN DISCOUNT CO
0000038725,FRANKLIN ELECTRIC CO INC,
0000038777,FRANKLIN RESOURCES INC,
0000039020,FREQUENCY ELECTRONICS INC,
0000039092,FRIEDMAN INDUSTRIES INC,
0000039263,"CULLEN/FROST BANKERS, INC.",
0000039263,"CULLEN/FROST BANKERS, INC.",CULLEN FROST BANKERS INC
0000039263,"CULLEN/FROST BANKERS, INC.",FROST BANK CORP
0000039311,INDEPENDENT BANK CORP /MI/,
0000039368,FULLER H B CO,
0000039899,TEGNA INC,
0000039899,TEGNA INC,GANNETT CO INC /DE/
0000039911,GAP INC,
0000039911,GAP INC,GAP STORES INC
0000040211,GATX CORP,
0000040211,GATX CORP,GENERAL AMERICAN TRANSPORTATION CORP
0000040533,GENERAL DYNAMICS CORP,
0000040545,GENERAL ELECTRIC CO,
0000040545,GENERAL ELECTRIC CO,GE AEROSPACE
0000040545,GENERAL ELECTRIC CO,GENERAL ELECTRIC CO
0000040545,GENERAL ELECTRIC CO,GENERAL ELECTRIC Co
0000040570,GEE Group Inc.,
0000040570,GEE Group Inc.,GENERAL EMPLOYMENT ENTERPRISES INC
0000040570,GEE Group Inc.,OSHEA CHARLES M CORP
0000040704,GENERAL MILLS INC,
0000040729,Ally Financial Inc.,
0000040729,Ally Financial Inc.,GENERAL MOTORS ACCEPTANCE CORP
0000040729,Ally Financial Inc.,GMAC INC.
0000040729,Ally Financial Inc.,GMAC LLC
0000040987,GENUINE PARTS CO,
0000041091,GEORGIA POWER CO,
0000041719,Magnera Corp,
0000041719,Magnera Corp,GLATFELTER P H CO
0000041719,Magnera Corp,Glatfelter Corp
0000042582,GOODYEAR TIRE & RUBBER CO /OH/,
0000042682,GORMAN RUPP CO,
0000042888,GRACO INC,
0000043196,"GRAY MEDIA, INC",
0000043196,"GRAY MEDIA, INC",GRAY COMMUNICATIONS CORP
0000043196,"GRAY MEDIA, INC",GRAY COMMUNICATIONS SYSTEMS INC /GA/
0000043196,"GRAY MEDIA, INC",GRAY TELEVISION INC
0000043920,"GREIF, INC",
0000043920,"GREIF, INC",GREIF BROTHERS COOPERAGE CORP
0000043920,"GREIF, INC",GREIF BROTHERS CORP
0000043920,"GREIF, INC",GREIF INC
0000045012,HALLIBURTON CO,
0000045012,HALLIBURTON CO,HALLIBURTON OIL WELL CEMENTING CO
0000045876,ENVIRI Corp,
0000045876,ENVIRI Corp,HARSCO CORP
0000045919,HARTE HANKS INC,
0000045919,HARTE HANKS INC,HARTE HANKS COMMUNICATIONS INC
0000045919,HARTE HANKS INC,HARTE HANKS NEWSPAPERS INC
0000046080,"HASBRO, INC.",
0000046080,"HASBRO, INC.",HASBRO BRADLEY INC
0000046080,"HASBRO, INC.",HASBRO INC
0000046080,"HASBRO, INC.",HASBRO INDUSTRIES INC
0000046129,ALLIENT INC,
