cik,name,alias,alias_clean,alias_source
0000020947,CLEVELAND ELECTRIC ILLUM,Cleveland Electric Illuminating Co,cleveland electric illuminating,ticker_map_name
0000021076,CLOROX CO/DE,Clorox Co,clorox,ticker_map_name
0000021344,COCA-COLA CO,Coca Cola Co,coca cola,ticker_map_name
0000021665,COLGATE-PALMOLIVE CO,Colgate Palmolive Co,colgate palmolive,ticker_map_name
0000022701,SUNATION ENERGY INC,Communications Systems Inc,communications systems,ticker_map_name
0000023197,COMTECH TELECOMMUN,Comtech Telecommunications Corp,comtech telecommunications,ticker_map_name
0000023217,CONAGRA BRANDS INC,Conagra Foods Inc,conagra foods,ticker_map_name
0000023795,CTO REALTY GROWTH INC,Consolidated Tomoka Land Co,consolidated tomoka land,ticker_map_name
0000024545,MOLSON COORS BEVERAGE CO,Molson Coors Brewing Co,molson coors brewing,ticker_map_name
0000025445,CRANE NXT CO,Crane Co,crane,ticker_map_name
0000026324,CURTISS-WRIGHT CORP,Curtiss Wright Corp,curtiss wright,ticker_map_name
0000027093,U.S. GOLD CORP,Dataram Corp,dataram,ticker_map_name
0000028823,DIEBOLD NIXDORF INC,Diebold Inc,diebold,ticker_map_name
0000028917,DILLARDS INC  -CL A,Dillards Inc,dillards,ticker_map_name
0000030554,DU PONT (E I) DE NEMOURS,Dupont E I De Nemours & Co,dupont e i de nemours,ticker_map_name
0000031791,REVVITY INC,Perkinelmer Inc,perkinelmer,ticker_map_name
0000033992,KINGSTONE COS INC,Kingstone Companies Inc,kingstone companies,ticker_map_name
0000034067,DMC GLOBAL INC,Dynamic Materials Corp,dynamic materials,ticker_map_name
0000034563,FARMER BROS CO,Farmer Brothers Co,farmer brothers,ticker_map_name
0000034903,FEDERAL REALTY INVESTMENT TR,Federal Realty Investment Trust,federal realty investment trust,ticker_map_name
0000034956,TENAX THERAPEUTICS INC,Oxygen Biotherapeutics Inc,oxygen biotherapeutics,ticker_map_name
0000035527,FIFTH THIRD BANCORP,Third Bancorp Fifth,third bancorp fifth,ticker_map_name
0000036029,FIRST FINL BANKSHARES INC,First Financial Bankshares Inc,first financial bankshares,ticker_map_name
0000036840,FIRST REAL ESTATE TR NJ INC,First Real Estate Investment Trust Of New Jersey,first real estate investment trust of new jersey,ticker_map_name
0000036966,FIRST HORIZON CORP,First Horizon National Corp,first horizon national,ticker_map_name
0000037808,F N B CORP/FL,FNB Corp,fnb,ticker_map_name
0000039263,CULLEN/FROST BANKERS INC,Cullen,cullen,ticker_map_name
0000039311,INDEPENDENT BANK CORP/MI,Independent Bank Corp,independent bank,ticker_map_name
0000039899,TEGNA INC,Gannett Co Inc,gannett,ticker_map_name
0000040545,GE AEROSPACE,General Electric Co,general electric,ticker_map_name
0000040570,GEE GROUP INC,General Employment Enterprises Inc,general employment enterprises,ticker_map_name
0000041719,MAGNERA CORP,Glatfelter P H Co,glatfelter p h,ticker_map_name
0000042682,GORMAN-RUPP CO,Gorman Rupp Co,gorman rupp,ticker_map_name
0000043196,GRAY MEDIA INC,Gray Television Inc,gray television,ticker_map_name
0000043920,GREIF INC  -CL A,Greif Inc,greif,ticker_map_name
0000045876,ENVIRI CORP,Harsco Corp,harsco,ticker_map_name
0000046129,ALLIENT INC,Allied Motion Technologies Inc,allied motion technologies,ticker_map_name
0000047217,HP INC,Hewlett Packard Co,hewlett packard,ticker_map_name
0000047307,CRAWFORD UNITED CORP,Hickok Inc,hickok,ticker_map_name
0000049754,DINE BRANDS GLOBAL INC,Dineequity Inc,dineequity,ticker_map_name
0000050471,REPOSITRAK INC,Park City Group Inc,park city,ticker_map_name
0000050493,INGLES MARKETS INC  -CL A,Ingles Markets Inc,ingles markets,ticker_map_name
0000051143,INTL BUSINESS MACHINES CORP,International Business Machines Corp,international business machines,ticker_map_name
0000051253,INTL FLAVORS & FRAGRANCES,International Flavors & Fragrances Inc,international flavors fragrances,ticker_map_name
0000051434,INTL PAPER CO,International Paper Co,international paper,ticker_map_name
0000051644,INTERPUBLIC GROUP OF COS,Interpublic Group Of Companies Inc,interpublic group of companies,ticker_map_name
0000052988,JACOBS SOLUTIONS INC,Jacobs Engineering Group Inc,jacobs engineering,ticker_map_name
0000054187,MAYS (J.W.) INC,Mays J W Inc,mays j w,ticker_map_name
0000055067,KELLANOVA,Kellogg Co,kellogg,ticker_map_name
0000055135,KELLY SERVICES INC  -CL A,Kelly Services Inc,kelly services,ticker_map_name
0000055785,KIMBERLY-CLARK CORP,Kimberly Clark Corp,kimberly clark,ticker_map_name
0000056679,KORN FERRY,Korn Ferry International,korn ferry international,ticker_map_name
0000056868,PRIMEENERGY RESOURCES CORP,Primeenergy Corp,primeenergy,ticker_map_name
0000057515,MARZETTI CO (THE),Lancaster Colony Corp,lancaster colony,ticker_map_name
0000059527,LINCOLN ELECTRIC HLDGS INC,Lincoln Electric Holdings Inc,lincoln electric,ticker_map_name
0000060667,LOWE'S COS INC,Lowes Companies Inc,lowes companies,ticker_map_name
0000061398,TELLURIAN INC,Magellan Petroleum Corp,magellan petroleum,ticker_map_name
0000062709,MARSH,Marsh & Mclennan Companies Inc,marsh mclennan companies,ticker_map_name
0000063296,MATTHEWS INTL CORP  -CL A,Matthews International Corp,matthews international,ticker_map_name
0000064040,S&P GLOBAL INC,Mcgraw Hill Financial Inc,mcgraw hill financial,ticker_map_name
0000064463,SOLUNA HOLDINGS INC,Mechanical Technology Inc,mechanical technology,ticker_map_name
0000064803,CVS HEALTH CORP,CVS Caremark Corp,cvs caremark,ticker_map_name
0000065312,EVI INDUSTRIES INC,Envirostar Inc,envirostar,ticker_map_name
0000066382,MILLERKNOLL INC,Miller Herman Inc,miller herman,ticker_map_name
0000066570,MSA SAFETY INC,Mine Safety Appliances Co,mine safety appliances,ticker_map_name
0000067887,MOOG INC  -CL A,Moog Inc,moog,ticker_map_name
0000069633,NAPCO SECURITY TECH INC,Napco Security Technologies Inc,napco security technologies,ticker_map_name
0000070866,NCR VOYIX CORP,NCR Corp,ncr,ticker_map_name
0000071557,NUVERA COMMUNICATIONS INC,New Ulm Telecom Inc,new ulm telecom,ticker_map_name
0000071691,NEW YORK TIMES CO  -CL A,New York Times Co,new york times,ticker_map_name
0000071829,NPK INTERNATIONAL INC,Newpark Resources Inc,newpark resources,ticker_map_name
0000072444,VAXART INC,Biota Pharmaceuticals Inc,biota pharmaceuticals,ticker_map_name
0000072633,NORTH EUROPEAN OIL RTY TR,North European Oil Royalty Trust,north european oil royalty trust,ticker_map_name
0000072741,EVERSOURCE ENERGY,Northeast Utilities,northeast utilities,ticker_map_name
0000074046,OIL DRI CORP AMERICA,Oil Dri Corp Of America,oil dri corp of america,ticker_map_name
0000074260,OLD REPUBLIC INTL CORP,Old Republic International Corp,old republic international,ticker_map_name
0000075252,ACCENDRA HEALTH INC,Owens & Minor Inc,owens minor,ticker_map_name
0000076267,PARK AEROSPACE CORP,Park Electrochemical Corp,park electrochemical,ticker_map_name
0000076334,PARKER-HANNIFIN CORP,Parker Hannifin Corp,parker hannifin,ticker_map_name
0000078128,ESSENTIAL UTILITIES INC,Aqua America Inc,aqua america,ticker_map_name
0000080172,NATIONAL PRESTO INDS INC,National Presto Industries Inc,national presto industries,ticker_map_name
0000080661,PROGRESSIVE CORP-OHIO,Progressive Corp,progressive,ticker_map_name
0000081033,PUBLIC SERVICE ELEC & GAS CO,Public Service Electric & Gas Co,public service electric gas,ticker_map_name
0000081362,QUAKER HOUGHTON,Quaker Chemical Corp,quaker chemical,ticker_map_name
0000082020,U S LIME & MINERALS,United States Lime & Minerals Inc,united states lime minerals,ticker_map_name
0000082473,INNSUITES HOSPITALITY TR,Innsuites Hospitality Trust,innsuites hospitality trust,ticker_map_name
0000082811,REGAL REXNORD CORP,Regal Beloit Corp,regal beloit,ticker_map_name
0000084112,RISK(GEORGE) INDUSTRIES INC,Risk George Industries Inc,risk george industries,ticker_map_name
0000086312,TRAVELERS COS INC,Travelers Companies Inc,travelers companies,ticker_map_name
0000087347,SLB LTD,Schlumberger LTD,schlumberger,ticker_map_name
0000088000,HORIZON KINETICS HLDING CORP,Scotts Liquid Gold Inc,scotts liquid gold,ticker_map_name
0000088205,SPX TECHNOLOGIES INC,SPX Corp,spx,ticker_map_name
0000089089,SERVICE CORP INTERNATIONAL,Service Corporation International,service corporation international,ticker_map_name
0000089800,SHERWIN-WILLIAMS CO,Sherwin Williams Co,sherwin williams,ticker_map_name
0000090498,SIMMONS FIRST NATL CP  -CL A,Simmons First National Corp,simmons first national,ticker_map_name
0000090896,CHAMPION HOMES INC,Skyline Corp,skyline,ticker_map_name
0000091142,SMITH (A.O.),Smith A O Corp,smith a o,ticker_map_name
0000091419,SMUCKER (JM) CO,Smucker J M Co,smucker j m,ticker_map_name
0000091882,SOUTH CAROLINA ELEC & GAS CO,South Carolina Electric & Gas Co,south carolina electric gas,ticker_map_name
0000092230,TRUIST FINANCIAL CORP,BB&T Corp,bbt,ticker_map_name
0000093389,STANDARD MOTOR PRODS,Standard Motor Products Inc,standard motor products,ticker_map_name
0000095552,SUPERIOR INDUSTRIES INTL,Superior Industries International Inc,superior industries international,ticker_map_name
0000095574,SUPERIOR GROUP OF COS INC,Superior Uniform Group Inc,superior uniform,ticker_map_name
0000095953,ASCENT INDUSTRIES CO,Synalloy Corp,synalloy,ticker_map_name
0000096223,JEFFERIES FINANCIAL GRP INC,Leucadia National Corp,leucadia national,ticker_map_name
0000096885,TEL-INSTRUMENT ELECTRONICS,Tel Instrument Electronics Corp,tel instrument electronics,ticker_map_name
0000099106,TRANS-LUX CORP,Trans Lux Corp,trans lux,ticker_map_name
0000100493,TYSON FOODS INC  -CL A,Tyson Foods Inc,tyson foods,ticker_map_name
0000100517,UNITED AIRLINES HOLDINGS INC,United Continental Holdings Inc,united continental,ticker_map_name
0000101295,UNITED-GUARDIAN INC,United Guardian Inc,united guardian,ticker_map_name
0000101538,U S ANTIMONY CORP,United States Antimony Corp,united states antimony,ticker_map_name
0000101829,RTX CORP,United Technologies Corp,united technologies,ticker_map_name
0000102037,UNIVERSAL CORP/VA,Universal Corp,universal,ticker_map_name
0000102109,UNIVERSAL SAFETY PRDUCTS INC,Universal Security Instruments Inc,universal security instruments,ticker_map_name
0000102212,UNIVEST FINANCIAL CORP,Univest Corp Of Pennsylvania,univest corp of pennsylvania,ticker_map_name
0000103379,VF CORP,V F Corp,v f,ticker_map_name
0000103595,VILLAGE SUPER MARKET  -CL A,Village Super Market Inc,village super market,ticker_map_name
0000104169,WALMART INC,Wal Mart Stores Inc,wal mart stores,ticker_map_name
0000104894,ELME COMMUNITIES,Washington Real Estate Investment Trust,washington real estate investment trust,ticker_map_name
0000105132,WD-40 CO,WD 40 Co,wd 40,ticker_map_name
0000105319,WW INTERNATIONAL INC,Weight Watchers International Inc,weight watchers international,ticker_map_name
0000105770,WEST PHARMACEUTICAL SVSC INC,West Pharmaceutical Services Inc,west pharmaceutical services,ticker_map_name
0000107140,WILEY (JOHN) & SONS  -CL A,Wiley John & Sons Inc,wiley john sons,ticker_map_name
0000107263,WILLIAMS COS INC,Williams Companies Inc,williams companies,ticker_map_name
0000108385,WORLD ACCEPTANCE CORP/DE,World Acceptance Corp,world acceptance,ticker_map_name
0000108516,WORTHINGTON ENTERPRISES INC,Worthington Industries Inc,worthington industries,ticker_map_name
0000109177,SPECTRUM BRND HLDG INC,Harbinger Group Inc,harbinger,ticker_map_name
0000109198,TJX COS INC (THE),TJX Companies Inc,tjx companies,ticker_map_name
0000109380,ZIONS BANCORPORATION NA,Zions Bancorporation,zions bancorporation,ticker_map_name
0000109563,APPLIED INDUSTRIAL TECH INC,Applied Industrial Technologies Inc,applied industrial technologies,ticker_map_name
0000109657,GT BIOPHARMA INC,Oxis International Inc,oxis international,ticker_map_name
0000202058,L3HARRIS TECHNOLOGIES INC,Harris Corp,harris,ticker_map_name
0000216085,HAVERTY FURNITURE,Haverty Furniture Companies Inc,haverty furniture companies,ticker_map_name
0000230557,SELECTIVE INS GROUP INC,Selective Insurance Group Inc,selective insurance,ticker_map_name
0000275053,NATURES SUNSHINE PRODS INC,Natures Sunshine Products Inc,natures sunshine products,ticker_map_name
0000278165,OMNIQ CORP,Amerigo Energy Inc,amerigo energy,ticker_map_name
0000310522,FEDERAL NATIONAL MORTGA ASSN,Federal National Mortgage Association Fannie Mae,federal national mortgage association fannie mae,ticker_map_name
0000314203,MCEWEN INC,Mcewen Mining Inc,mcewen mining,ticker_map_name
0000314808,VALARIS LIMITED,Ensco PLC,ensco,ticker_map_name
0000315213,ROBERT HALF INC,Half Robert International Inc,half robert international,ticker_map_name
0000315374,HURCO COS INC,Hurco Companies Inc,hurco companies,ticker_map_name
0000315709,INTL BANCSHARES CORP,International Bancshares Corp,international bancshares,ticker_map_name
0000315958,CREDITRISKMONITOR.COM INC,Creditriskmonitor Com Inc,creditriskmonitor com,ticker_map_name
0000317540,COCA COLA CONSOLIDATED INC,Coca Cola Bottling Co Consolidated,coca cola bottling co consolidated,ticker_map_name
0000317788,DIGITAL TURBINE INC,Mandalay Digital Group Inc,mandalay digital,ticker_map_name
0000318299,SPARTA COMMERCIAL SERVIC INC,Sparta Commercial Services Inc,sparta commercial services,ticker_map_name
0000318300,PEOPLES BANCORP INC/OH,Peoples Bancorp Inc,peoples bancorp,ticker_map_name
0000318306,ABEONA THERAPEUTICS INC,Access Pharmaceuticals Inc,access pharmaceuticals,ticker_map_name
0000318673,SECURITY NATL FINL CP  -CL A,Security National Financial Corp,security national financial,ticker_map_name
0000319201,KLA CORP,Kla Tencor Corp,kla tencor,ticker_map_name
0000319655,SAN JUAN BASIN ROYALTY TR,San Juan Basin Royalty Trust,san juan basin royalty trust,ticker_map_name
0000320017,LISATA THERAPEUTICS INC,Neostem Inc,neostem,ticker_map_name
0000320121,TELOS CORP/MD,Telos Corp,telos,ticker_map_name
0000320187,NIKE INC  -CL B,Nike Inc,nike,ticker_map_name
0000320335,GLOBE LIFE INC,Torchmark Corp,torchmark,ticker_map_name
0000320340,CORECARD CORP,Intelligent Systems Corp,intelligent systems,ticker_map_name
0000351789,ELECTRO-SENSORS INC,Electro Sensors Inc,electro sensors,ticker_map_name
0000351817,SILVERBOW RESOURCES INC,Swift Energy Co,swift energy,ticker_map_name
0000351998,DATA I/O CORP,Data I,data i,ticker_map_name
0000352825,FOSTER (LB) CO,Foster L B Co,foster l b,ticker_map_name
0000352915,UNIVERSAL HEALTH SVCS INC,Universal Health Services Inc,universal health services,ticker_map_name
0000354190,ARTHUR J GALLAGHER & CO,Gallagher Arthur J & Co,gallagher arthur j,ticker_map_name
0000354707,HAWAIIAN ELECTRIC INDS,Hawaiian Electric Industries Inc,hawaiian electric industries,ticker_map_name
0000354963,SHENANDOAH TELECOMMUN CO,Shenandoah Telecommunications Co,shenandoah telecommunications,ticker_map_name
0000356590,GLOBAL TECH INDS GROUP INC,Tree Top Industries Inc,tree top industries,ticker_map_name
0000357173,OLD SECOND BANCORP INC/IL,Old Second Bancorp Inc,old second bancorp,ticker_map_name
0000357294,HOVNANIAN ENTRPRS INC  -CL A,Hovnanian Enterprises Inc,hovnanian enterprises,ticker_map_name
0000357301,TRUSTCO BANK CORP/NY,Trustco Bank Corp N Y,trustco bank corp n y,ticker_map_name
0000700565,FIRST MID BANCSHARES INC,First Mid Illinois Bancshares Inc,first mid illinois bancshares,ticker_map_name
0000700764,VICTORY OILFIELD TECH INC,Victory Energy Corp,victory energy,ticker_map_name
0000701347,CENTRAL PACIFIC FINANCIAL CP,Central Pacific Financial Corp,central pacific financial,ticker_map_name
0000701374,SIX FLAGS ENTERTAINMENT -OLD,Six Flags Entertainment Corp,six flags entertainment,ticker_map_name
0000701719,ENVELA CORP,Dgse Companies Inc,dgse companies,ticker_map_name
0000701985,BATH & BODY WORKS INC,L Brands Inc,l brands,ticker_map_name
0000703351,BRINKER INTL INC,Brinker International Inc,brinker international,ticker_map_name
0000703604,DISTRIBUTION SOLUTIO GRO INC,Lawson Products Inc,lawson products,ticker_map_name
0000704440,KORU MEDICAL SYSTEMS INC,Repro Med Systems Inc,repro med systems,ticker_map_name
0000704532,ONTO INNOVATION INC,Nanometrics Inc,nanometrics,ticker_map_name
0000704562,AVID BIOSERVICES INC,Peregrine Pharmaceuticals Inc,peregrine pharmaceuticals,ticker_map_name
0000707388,STAR EQUITY HOLDING INC -OLD,Digirad Corp,digirad,ticker_map_name
0000707605,AMERISERV FINANCIAL INC/PA,Ameriserv Financial Inc,ameriserv financial,ticker_map_name
0000708955,FIRST FINL BANCORP INC/OH,First Financial Bancorp,first financial bancorp,ticker_map_name
0000709337,FARMERS NATL BANC CORP/OH,Farmers National Banc Corp,farmers national banc,ticker_map_name
0000711404,COOPER COS INC (THE),Cooper Companies Inc,cooper companies,ticker_map_name
0000712537,FIRST COMMONWLTH FINL CP/PA,First Commonwealth Financial Corp,first commonwealth financial,ticker_map_name
0000712771,CONNECTONE BANCORP INC,Center Bancorp Inc,center bancorp,ticker_map_name
0000713425,LOGILITY SPPLY CHAIN SOL INC,American Software Inc,american software,ticker_map_name
0000713676,PNC FINANCIAL SVCS GROUP INC,PNC Financial Services Group Inc,pnc financial services,ticker_map_name
0000714256,SANARA MEDTECH INC,Wound Management Technologies Inc,wound management technologies,ticker_map_name
0000714712,JUNIATA VALLEY FINANCIAL CP,Juniata Valley Financial Corp,juniata valley financial,ticker_map_name
0000715446,ANIXA BIOSCIENCES INC,Copytele Inc,copytele,ticker_map_name
0000715957,DOMINION ENERGY INC,Dominion Resources Inc,dominion resources,ticker_map_name
0000716634,READING INTL INC  -CL A,Reading International Inc,reading international,ticker_map_name
0000716643,REGIS CORP/MN,Regis Corp,regis,ticker_map_name
0000717806,FIRST US BANCSHARES INC,United Security Bancshares Inc,united security bancshares,ticker_map_name
0000718332,RAVE RESTAURANT GROUP INC,Pizza Inn Holdings Inc,pizza inn,ticker_map_name
0000718413,COMMUNITY BANCORP INC/VT,Community Bancorp,community bancorp,ticker_map_name
0000719135,APYX MEDICAL CORP,Bovie Medical Corp,bovie medical,ticker_map_name
0000719220,S & T BANCORP INC,S&T Bancorp Inc,st bancorp,ticker_map_name
0000719274,GIGA-TRONICS INC,Giga Tronics Inc,giga tronics,ticker_map_name
0000719402,FIRST NATIONAL CORP/VA,First National Corp,first national,ticker_map_name
0000719955,WILLIAMS-SONOMA INC,Williams Sonoma Inc,williams sonoma,ticker_map_name
0000720762,NON INVASIVE MONITOR,Non Invasive Monitoring Systems Inc,non invasive monitoring systems,ticker_map_name
0000721693,SMART POWERR CORP,China Recycling Energy Corp,china recycling energy,ticker_map_name
0000723188,COMMUNITY FINANCIAL SYST INC,Community Bank System Inc,community bank system,ticker_map_name
0000723646,FRANKLIN FINANCIAL SVCS CORP,Franklin Financial Services Corp,franklin financial services,ticker_map_name
0000726601,CAPITAL CITY BK GROUP INC,Capital City Bank Group Inc,capital city bank,ticker_map_name
0000727346,SELECTIS HEALTH INC,Global Healthcare REIT Inc,global healthcare reit,ticker_map_name
0000728385,BIRCHTECH CORP,Midwest Energy Emissions Corp,midwest energy emissions,ticker_map_name
0000728535,HUNT (JB) TRANSPRT SVCS INC,Hunt J B Transport Services Inc,hunt j b transport services,ticker_map_name
0000729986,UNITED BANKSHARES INC/WV,United Bankshares Inc,united bankshares,ticker_map_name
0000730464,COVISTA INC,Devry Education Group Inc,devry education,ticker_map_name
0000730708,SEACOAST BANKING CORP/FL,Seacoast Banking Corp Of Florida,seacoast banking corp of florida,ticker_map_name
0000731653,UNITED BANCORP INC/OH,United Bancorp Inc,united bancorp,ticker_map_name
0000732026,TRIO-TECH INTERNATIONAL,Trio Tech International,trio tech international,ticker_map_name
0000733269,LIVERAMP HOLDINGS INC,Acxiom Corp,acxiom,ticker_map_name
0000733590,TRANSCONTINENTAL RLTY INVS,Transcontinental Realty Investors Inc,transcontinental realty investors,ticker_map_name
0000736772,CNB FINANCIAL CORP/PA,CNB Financial Corp,cnb financial,ticker_map_name
0000737468,WASHINGTON TR BANCORP INC,Washington Trust Bancorp Inc,washington trust bancorp,ticker_map_name
0000739421,CITIZENS FINANCIAL SVCS INC,Citizens Financial Services Inc,citizens financial services,ticker_map_name
0000740663,FIRST LONG ISLAND CORP,First Of Long Island Corp,first of long island,ticker_map_name
0000740806,F & M BANK CORP,F&M Bank Corp,fm bank,ticker_map_name
0000741516,AMERICAN NATL BANKSHARES,American National Bankshares Inc,american national bankshares,ticker_map_name
0000743367,BAR HARBOR BANKSHARES,Harbor Bankshares Bar,harbor bankshares bar,ticker_map_name
0000743758,AIADVERTISING INC,Warp 9 Inc,warp 9,ticker_map_name
0000744452,BNB PLUS CORP,Applied Dna Sciences Inc,applied dna sciences,ticker_map_name
0000744825,AMERICAN SHARED HSPTL SERV,American Shared Hospital Services,american shared hospital services,ticker_map_name
0000746210,TAOWEAVE INC,Glowpoint Inc,glowpoint,ticker_map_name
0000746514,NEW ENGLAND REALTY ASSC  -LP,New England Realty Associates Limited Partnership,new england realty associates limited partnership,ticker_map_name
0000746515,EXPEDITORS INTL WASH INC,Expeditors International Of Washington Inc,expeditors international of washington,ticker_map_name
0000748268,RED CAT HOLDINGS INC,Broadleaf Capital Partners Inc,broadleaf capital partners,ticker_map_name
0000748592,ERNEXA THERAPEUTICS INC,NTN Buzztime Inc,ntn buzztime,ticker_map_name
0000749647,IMUNON INC,Celsion Corp,celsion,ticker_map_name
0000750004,LIGHT & WONDER INC,Scientific Games Corp,scientific games,ticker_map_name
0000750574,AUBURN NATIONAL BANCORP,Auburn National Bancorporation Inc,auburn national bancorporation,ticker_map_name
0000750577,HANCOCK WHITNEY CORP,Hancock Holding Co,hancock,ticker_map_name
0000751364,NNN REIT INC,National Retail Properties Inc,national retail properties,ticker_map_name
0000752294,ELECTRONIC SYSTEM TECH INC,Electronic Systems Technology Inc,electronic systems technology,ticker_map_name
0000760498,BANCFIRST CORP/OK,Bancfirst Corp,bancfirst,ticker_map_name
0000763744,LCI INDUSTRIES,Drew Industries Inc,drew industries,ticker_map_name
0000764038,SOUTH STATE BANK CORP,First Financial Holdings Inc,first financial,ticker_map_name
0000764065,CLEVELAND-CLIFFS INC,Cliffs Natural Resources Inc,cliffs natural resources,ticker_map_name
0000764897,BROAD STREET REALTY INC,Banyan Rail Services Inc,banyan rail services,ticker_map_name
0000765207,FIRST BANCORP INC/ME,First Bancorp Inc,first bancorp,ticker_map_name
0000765880,HEALTHPEAK PROPERTIES INC,HCP Inc,hcp,ticker_map_name
0000766404,MULTI SOFT INC,Multi Soft II Inc,multi soft ii,ticker_map_name
0000766704,WELLTOWER INC,Health Care REIT Inc,health care reit,ticker_map_name
0000766829,H2O AMERICA,SJW Corp,sjw,ticker_map_name
0000768216,LOGICQUEST TECHNOLOGY INC,Bluegate Corp,bluegate,ticker_map_name
0000770460,PEOPLES FINANCIAL CORP/MS,Peoples Financial Corp,peoples financial,ticker_map_name
0000771999,DSS INC,Document Security Systems Inc,document security systems,ticker_map_name
0000773717,AMERICAN CLEAN RES GRP INC,Standard Metals Processing Inc,standard metals processing,ticker_map_name
0000776867,WHITE MTNS INS GROUP LTD,White Mountains Insurance Group LTD,white mountains insurance,ticker_map_name
0000776901,INDEPENDENT BANK CORP/MA,Independent Bank Corp,independent bank,ticker_map_name
0000778164,ALTO INGREDIENTS INC,Pacific Ethanol Inc,pacific ethanol,ticker_map_name
0000783325,WEC ENERGY GROUP INC,Wisconsin Energy Corp,wisconsin energy,ticker_map_name
0000784199,ARTIVION INC,Cryolife Inc,cryolife,ticker_map_name
0000785161,ENCOMPASS HEALTH CORP,Healthsouth Corp,healthsouth,ticker_map_name
0000785956,J & J SNACK FOODS CORP,J&J Snack Foods Corp,jj snack foods,ticker_map_name
0000787253,NATURAL ALTERNATIVES,Natural Alternatives International Inc,natural alternatives international,ticker_map_name
0000788329,JOHNSON OUTDOORS INC  -CL A,Johnson Outdoors Inc,johnson outdoors,ticker_map_name
0000788784,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc,public service enterprise,ticker_map_name
0000788920,PRO-DEX INC/CO,Pro Dex Inc,pro dex,ticker_map_name
0000789460,WORLD KINECT CORP,World Fuel Services Corp,world fuel services,ticker_map_name
0000789933,NACCO INDUSTRIES  -CL A,Nacco Industries Inc,nacco industries,ticker_map_name
0000790051,CARLISLE COS INC,Carlisle Companies Inc,carlisle companies,ticker_map_name
0000790359,N B T BANCORP INC,NBT Bancorp Inc,nbt bancorp,ticker_map_name
0000791908,XOMA ROYALTY CORP,Xoma Corp,xoma,ticker_map_name
0000792966,FARMERS & MERCHANTS BCP/OH,Farmers & Merchants Bancorp Inc,farmers merchants bancorp,ticker_map_name
0000793952,HARLEY-DAVIDSON INC,Harley Davidson Inc,harley davidson,ticker_map_name
0000796343,ADOBE INC,Adobe Systems Inc,adobe systems,ticker_map_name
0000796534,NATIONAL BANKSHARES INC VA,National Bankshares Inc,national bankshares,ticker_map_name
0000797465,HG HOLDINGS INC,Stanley Furniture Co Inc,stanley furniture,ticker_map_name
0000797542,VIEWBIX INC,Zaxis International Inc,zaxis international,ticker_map_name
0000798287,PAMT CORP,Pam Transportation Services Inc,pam transportation services,ticker_map_name
0000798359,CENTRESPACE,Investors Real Estate Trust,investors real estate trust,ticker_map_name
0000798783,UNIVERSAL HEALTH RLTY INCOME,Universal Health Realty Income Trust,universal health realty income trust,ticker_map_name
0000798941,FIRST CITIZENS BANCSH  -CL A,First Citizens Bancshares Inc,first citizens bancshares,ticker_map_name
0000799165,DAWSON GEOPHYSICAL CO,TGC Industries Inc,tgc industries,ticker_map_name
0000799292,M/I HOMES INC,M I Homes Inc,m i homes,ticker_map_name
