sentence,true_label,predicted_label,match,scores
"There are significant risks involved in developing and deploying AI and there can be no assurance that the usage of AI will enhance our products or services or be beneficial to our business, including our efficiency or profitability.",Actionable,Speculative,False,"{'Actionable': 0.8206101989746094, 'Irrelevant': 0.7508753538131714, 'Speculative': 0.8829294300079347, 'fine_margin': 0.062}"
"technical or other problems prevent us from delivering our products in a rapid and reliable manner or otherwise affect the user experience, such as security breaches or failure to prevent or limit spam or similar content, or users feel their experience is diminished as a result of our efforts to protect the security and integrity of our platform;",Actionable,Actionable,True,"{'Actionable': 1.0, 'Speculative': 0.0, 'Irrelevant': 0.0, 'fine_margin': None}"
"We are also the subject of multiple lawsuits related to our alleged use of facial recognition technology, our alleged recommendation of and/or failure to remove harmful content, information from third-party websites or apps via our business tools, our alleged use of copyright-protected content to train our AI models, and allegations that Facebook and Instagram cause ""social media addiction"" in users and allegations of violations of the Children's Online Privacy Protection Act (COPPA).",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"Across all of these efforts, we are making significant investments in artificial intelligence and machine learning to improve our delivery, targeting, and measurement capabilities.",Actionable,Actionable,True,"{'Actionable': 0.8110308027267457, 'Irrelevant': 0.6639902591705322, 'Speculative': 0.6381610035896301, 'fine_margin': 0.173}"
"We serve developers and enterprises of all sizes, including start-ups, government agencies, and academic institutions, through AWS, which offers a broad set of on-demand technology services, including compute, storage, database, analytics, and machine learning, and other services.",Actionable,Actionable,True,"{'Actionable': 0.7934697818756103, 'Irrelevant': 0.46097421646118164, 'Speculative': 0.45645028352737427, 'fine_margin': 0.337}"
"The rapid evolution of AI, including the development of government regulation of AI and automated decision-making technology more generally, may require significant resources to develop, test, and maintain our platform, offerings, services, and features to help us implement AI and automated decision-making technology more generally in a manner that complies with applicable laws and regulations and ethically in order to minimize unintended, harmful impact.",Irrelevant,Speculative,False,"{'Actionable': 0.7588364458084107, 'Irrelevant': 0.8008338212966919, 'Speculative': 0.9441059970855713, 'fine_margin': 0.185}"
"Our calculations of DAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",Speculative,Speculative,True,"{'Actionable': 0.5225182151794434, 'Irrelevant': 0.4934225082397461, 'Speculative': 0.8104309368133545, 'fine_margin': 0.288}"
"We will also continue to generate demand and brand awareness by improving our vehicles performance and functionality, including through products based on artificial intelligence such as Autopilot, FSD Capability, and other software features and delivering new vehicles, such as our Cybertruck.",Actionable,Actionable,True,"{'Actionable': 0.8277865028381348, 'Irrelevant': 0.6151306629180908, 'Speculative': 0.6488402342796327, 'fine_margin': 0.179}"
"These laws and regulations involve matters including privacy, data use, data protection and personal information, biometrics, encryption, rights of publicity, content, integrity, intellectual property, advertising, marketing, distribution, data security, data retention and deletion, data localization and storage, data disclosure, artificial intelligence and machine learning, electronic contracts and other communications, competition, protection of minors, consumer protection, civil rights, accessibility, telecommunications, product liability, e-commerce, taxation, economic or other trade controls including sanctions, anti-corruption and political law compliance, securities law compliance, and online payment services.",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"We are subject to general business regulations and laws, as well as regulations and laws specifically governing the Internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell.",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"Across our work, we are innovating in artificial intelligence (AI) technologies to build new experiences that help make our platform more social, useful, and immersive.",Irrelevant,Actionable,False,"{'Actionable': 0.8032666420936585, 'Irrelevant': 0.7054258584976196, 'Speculative': 0.6626790761947632, 'fine_margin': 0.141}"
