row_id,source,case_kind,priority,sentence,failure_mode_primary,failure_mode_note,label_reference,label_other,reviewed_label,reviewed_rationale,benchmark_role
22,heldout,heldout_model_as_error,high,"We incur significant expenses in operating our business, and we expect our expenses to continue to increase in the future as we broaden our user base, as users increase the amount and types of content they consume and the data they share with us, for example with respect to video, as we develop and implement new products, as we market new and existing products and promote our brands, as we continue to expand our technical infrastructure, as we continue to invest in new and unproven technologies, including AI and machine learning, and as we continue our efforts to focus on privacy, safety, security, and content review.",in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",Actionable,Speculative,Speculative,The sentence describes continued investment in AI and machine learning as part of future-facing expansion and implementation.,boundary_review_pack_v1
0,irr,human_human_as_disagreement,highest,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",Actionable,Speculative,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
1,irr,human_human_as_disagreement,highest,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",current_capability_or_product_packaging,"Language presents AI as part of an existing product, service, or packaged capability.",Actionable,Speculative,Actionable,Current ETF product packaging explicitly incorporates AI/ML into the fund structure.,boundary_review_pack_v1
10,irr,human_human_as_disagreement,highest,"In the future, we directly or through our third-party provided information technology systems or software may incorporate artificial intelligence AI capabilities into our business.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
11,irr,human_human_as_disagreement,highest,"Plan of Operation We devote substantial efforts to enter into new-emerging application industries of Internet Technology, Artificial Intelligence (AI) and the Internet of Things (IOT).",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Irrelevant,"The sentence is about entering AI-related industries, not about the firm currently using or offering AI capabilities.",boundary_review_pack_v1
2,irr,human_human_as_disagreement,highest,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",Actionable,Speculative,Actionable,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
3,irr,human_human_as_disagreement,highest,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",Actionable,Speculative,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
4,irr,human_human_as_disagreement,highest,"We have invested and expect to continue to invest heavily in research and development for new and innovative products, including AI solutions.",in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",Actionable,Speculative,Speculative,R&D and continued investment in AI solutions does not disclose a current deployed capability.,boundary_review_pack_v1
5,irr,human_human_as_disagreement,highest,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",acquisition_or_exposure_reference,"Language references AI through ownership, acquisition, or exposure rather than direct operating capability.",Actionable,Speculative,Irrelevant,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
6,irr,human_human_as_disagreement,highest,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
7,irr,human_human_as_disagreement,highest,"Dr. Bunting has other ongoing active business investments in the evolving internet artificial intelligence industry, as it relates to marketing and advertising.",acquisition_or_exposure_reference,"Language references AI through ownership, acquisition, or exposure rather than direct operating capability.",Speculative,Actionable,Irrelevant,This is an investment or exposure reference rather than a capability claim by the reporting firm.,boundary_review_pack_v1
8,irr,human_human_as_disagreement,highest,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",Speculative,Actionable,Actionable,"The sentence implies current machine learning models already support customer capture and segmentation, even though further enhancement is ongoing.",boundary_review_pack_v1
9,irr,human_human_as_disagreement,highest,"The process continues by acquiring building data to analyze energy consumption to quickly identify savings (and hence, improved NOI) with intelligent machine learning.",current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",Speculative,Actionable,Actionable,This describes a current ML-based operational process for analyzing energy consumption and identifying savings.,boundary_review_pack_v1
23,heldout,heldout_model_as_error,medium,Other companies may develop AI features and technologies that are similar or superior to our technologies or are more cost-effective to develop and deploy.,risk_or_competition_reference,"Language mentions AI mainly through risk, competition, dependency, or adoption uncertainty.",Speculative,Actionable,Irrelevant,This is a competition statement and does not independently disclose a present AI capability by the firm.,boundary_review_pack_v1
24,heldout,heldout_model_as_error,medium,"In 2024, we intend to focus on six key investment areas: AI, the metaverse, our discovery engine, monetization of our products and services, regulatory readiness, and enhancing developer efficiency to build, iterate, and optimize products quickly.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
25,heldout,heldout_model_as_error,medium,"Further, our ability to continue to develop and effectively deploy AI technologies is dependent on access to specific third-party equipment and other physical infrastructure, such as processing hardware and network capacity, as to which we cannot control the availability or pricing, especially in a highly competitive environment.",risk_or_competition_reference,"Language mentions AI mainly through risk, competition, dependency, or adoption uncertainty.",Speculative,Actionable,Irrelevant,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
26,heldout,heldout_model_as_error,medium,"We manage, identify and assess risks from cybersecurity threats by monitoring and evaluating our threat environment and risk profile using various methods including, for example: through the use of automated tools, including but not limited to tools for monitoring, geolocation, remote wiping, threat detection, intrusion detection and prevention (including through the use of machine learning, a form of artificial intelligence), patch management, distributed denial of service (DDoS) protection and forensics; conducting (directly or through third parties) regular audits and threat assessments for internal and external threats; subscribing to reports and services that identify cybersecurity threats; analyzing reports of threats and actors; conducting vulnerability assessments to identify vulnerabilities; evaluating our and our industry s risk profile; conducting tabletop incident response exercises; and evaluating threats reported to us.",generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",Actionable,Speculative,Actionable,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
27,heldout,heldout_model_as_error,medium,"We also expect to face additional competition as we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the development and application of new technologies such as AI.",risk_or_competition_reference,"Language mentions AI mainly through risk, competition, dependency, or adoption uncertainty.",Speculative,Actionable,Irrelevant,AI appears in a competition context rather than as a direct current-use disclosure.,boundary_review_pack_v1
28,heldout,heldout_model_as_error,medium,AIQ also enables a series of AI-driven origination tasks and real-time risk analysis that are intended to further improve customer workflow efficiency.,current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",Actionable,Speculative,Actionable,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
29,heldout,heldout_model_as_error,medium,"We also believe that there is increasing competition for our vehicle offerings as a platform for delivering self-driving technologies, charging solutions and other features and services, and we expect to compete in this developing market through continued progress on our Autopilot, FSD and neural network capabilities, Supercharger network and our infotainment offerings.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,The sentence is forward-looking competition language tied to continued progress on named capabilities rather than a clean current-use claim.,boundary_review_pack_v1
30,heldout,heldout_model_as_error,medium,"We believe that there is also increasing competition for our vehicle offerings as a platform for delivering self-driving technologies, charging solutions and other features and services, and we expect to compete in this developing market through continued progress on our Autopilot, FSD and neural network capabilities, Supercharger network and our infotainment offerings.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,The sentence is forward-looking competition language tied to continued progress on named capabilities rather than a clean current-use claim.,boundary_review_pack_v1
31,heldout,heldout_model_as_error,medium,"Our calculations of MAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",Actionable,Speculative,Actionable,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
32,heldout,heldout_model_as_error,medium,"Our calculations of DAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",Actionable,Speculative,Actionable,The firm currently relies on machine learning models in a live measurement process.,boundary_review_pack_v1
33,heldout,heldout_model_as_error,medium,"To calculate these metrics, we rely upon complex techniques, algorithms and machine learning models that seek to count the individual people behind user accounts, including by matching multiple user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",Actionable,Speculative,Actionable,The firm currently relies on machine learning models in a live measurement process.,boundary_review_pack_v1
