row_id,source,case_kind,priority,sentence,failure_mode_primary,benchmark_role
10,irr,human_human_as_disagreement,highest,"In the future, we directly or through our third-party provided information technology systems or software may incorporate artificial intelligence AI capabilities into our business.",future_intent_or_expectation,boundary_review_pack_v1_blinded
11,irr,human_human_as_disagreement,highest,"Plan of Operation We devote substantial efforts to enter into new-emerging application industries of Internet Technology, Artificial Intelligence (AI) and the Internet of Things (IOT).",future_intent_or_expectation,boundary_review_pack_v1_blinded
2,irr,human_human_as_disagreement,highest,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",current_capability_or_enabled_use,boundary_review_pack_v1_blinded
3,irr,human_human_as_disagreement,highest,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",in_progress_build_or_integrate,boundary_review_pack_v1_blinded
4,irr,human_human_as_disagreement,highest,"We have invested and expect to continue to invest heavily in research and development for new and innovative products, including AI solutions.",in_progress_build_or_integrate,boundary_review_pack_v1_blinded
5,irr,human_human_as_disagreement,highest,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",acquisition_or_exposure_reference,boundary_review_pack_v1_blinded
6,irr,human_human_as_disagreement,highest,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",future_intent_or_expectation,boundary_review_pack_v1_blinded
7,irr,human_human_as_disagreement,highest,"Dr. Bunting has other ongoing active business investments in the evolving internet artificial intelligence industry, as it relates to marketing and advertising.",acquisition_or_exposure_reference,boundary_review_pack_v1_blinded
8,irr,human_human_as_disagreement,highest,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",in_progress_build_or_integrate,boundary_review_pack_v1_blinded
9,irr,human_human_as_disagreement,highest,"The process continues by acquiring building data to analyze energy consumption to quickly identify savings (and hence, improved NOI) with intelligent machine learning.",current_capability_or_enabled_use,boundary_review_pack_v1_blinded
23,heldout,heldout_model_as_error,medium,Other companies may develop AI features and technologies that are similar or superior to our technologies or are more cost-effective to develop and deploy.,risk_or_competition_reference,boundary_review_pack_v1_blinded
24,heldout,heldout_model_as_error,medium,"In 2024, we intend to focus on six key investment areas: AI, the metaverse, our discovery engine, monetization of our products and services, regulatory readiness, and enhancing developer efficiency to build, iterate, and optimize products quickly.",future_intent_or_expectation,boundary_review_pack_v1_blinded
25,heldout,heldout_model_as_error,medium,"Further, our ability to continue to develop and effectively deploy AI technologies is dependent on access to specific third-party equipment and other physical infrastructure, such as processing hardware and network capacity, as to which we cannot control the availability or pricing, especially in a highly competitive environment.",risk_or_competition_reference,boundary_review_pack_v1_blinded
26,heldout,heldout_model_as_error,medium,"We manage, identify and assess risks from cybersecurity threats by monitoring and evaluating our threat environment and risk profile using various methods including, for example: through the use of automated tools, including but not limited to tools for monitoring, geolocation, remote wiping, threat detection, intrusion detection and prevention (including through the use of machine learning, a form of artificial intelligence), patch management, distributed denial of service (DDoS) protection and forensics; conducting (directly or through third parties) regular audits and threat assessments for internal and external threats; subscribing to reports and services that identify cybersecurity threats; analyzing reports of threats and actors; conducting vulnerability assessments to identify vulnerabilities; evaluating our and our industry s risk profile; conducting tabletop incident response exercises; and evaluating threats reported to us.",generic_metric_or_tooling_reference,boundary_review_pack_v1_blinded
27,heldout,heldout_model_as_error,medium,"We also expect to face additional competition as we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the development and application of new technologies such as AI.",risk_or_competition_reference,boundary_review_pack_v1_blinded
28,heldout,heldout_model_as_error,medium,AIQ also enables a series of AI-driven origination tasks and real-time risk analysis that are intended to further improve customer workflow efficiency.,current_capability_or_enabled_use,boundary_review_pack_v1_blinded
29,heldout,heldout_model_as_error,medium,"We also believe that there is increasing competition for our vehicle offerings as a platform for delivering self-driving technologies, charging solutions and other features and services, and we expect to compete in this developing market through continued progress on our Autopilot, FSD and neural network capabilities, Supercharger network and our infotainment offerings.",future_intent_or_expectation,boundary_review_pack_v1_blinded
30,heldout,heldout_model_as_error,medium,"We believe that there is also increasing competition for our vehicle offerings as a platform for delivering self-driving technologies, charging solutions and other features and services, and we expect to compete in this developing market through continued progress on our Autopilot, FSD and neural network capabilities, Supercharger network and our infotainment offerings.",future_intent_or_expectation,boundary_review_pack_v1_blinded
31,heldout,heldout_model_as_error,medium,"Our calculations of MAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",generic_metric_or_tooling_reference,boundary_review_pack_v1_blinded
32,heldout,heldout_model_as_error,medium,"Our calculations of DAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",generic_metric_or_tooling_reference,boundary_review_pack_v1_blinded
33,heldout,heldout_model_as_error,medium,"To calculate these metrics, we rely upon complex techniques, algorithms and machine learning models that seek to count the individual people behind user accounts, including by matching multiple user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",generic_metric_or_tooling_reference,boundary_review_pack_v1_blinded
