row_id,source,case_kind,sentence,reviewed_label,reviewed_rationale,sentence_id,label,split,training_eligible,label_changed,candidate_action,batch_id,batch_row_id,source_cik,source_year
22,heldout,heldout_model_as_error,"We incur significant expenses in operating our business, and we expect our expenses to continue to increase in the future as we broaden our user base, as users increase the amount and types of content they consume and the data they share with us, for example with respect to video, as we develop and implement new products, as we market new and existing products and promote our brands, as we continue to expand our technical infrastructure, as we continue to invest in new and unproven technologies, including AI and machine learning, and as we continue our efforts to focus on privacy, safety, security, and content review.",Speculative,The sentence describes continued investment in AI and machine learning as part of future-facing expansion and implementation.,,,,False,True,benchmark_only,,,,
0,irr,human_human_as_disagreement,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",Speculative,Carried forward from fixed probe adjudication.,c4e09d07456063ba,Actionable,validation,True,True,update_existing_label,labeling_batch_v3,4144f4d0f5d5a037,1374339.0,2024.0
1,irr,human_human_as_disagreement,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",Actionable,Current ETF product packaging explicitly incorporates AI/ML into the fund structure.,5a52a717d1e3d7b4,Actionable,train,True,False,retain_existing_label,labeling_batch_v1,4a98a4e32ca195a3,1145255.0,2024.0
10,irr,human_human_as_disagreement,"In the future, we directly or through our third-party provided information technology systems or software may incorporate artificial intelligence AI capabilities into our business.",Speculative,Carried forward from fixed probe adjudication.,2387103833acfbe8,Speculative,train,True,False,retain_existing_label,labeling_batch_v2,df42379864a36f3b,1052752.0,2024.0
11,irr,human_human_as_disagreement,"Plan of Operation We devote substantial efforts to enter into new-emerging application industries of Internet Technology, Artificial Intelligence (AI) and the Internet of Things (IOT).",Irrelevant,"The sentence is about entering AI-related industries, not about the firm currently using or offering AI capabilities.",98c50baf6f6271ea,Speculative,train,True,True,update_existing_label,labeling_batch_v2,e65f490dbe214fd0,1438461.0,2024.0
2,irr,human_human_as_disagreement,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",Actionable,Carried forward from fixed probe adjudication.,6489b2d76fe80847,Actionable,train,True,False,retain_existing_label,labeling_batch_v3,77342759203bcd77,1462056.0,2024.0
3,irr,human_human_as_disagreement,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",Speculative,Carried forward from fixed probe adjudication.,97d63e6c8eea2dc9,Actionable,train,True,True,update_existing_label,labeling_batch_v3,daaa2b2c419e2496,1326205.0,2024.0
4,irr,human_human_as_disagreement,"We have invested and expect to continue to invest heavily in research and development for new and innovative products, including AI solutions.",Speculative,R&D and continued investment in AI solutions does not disclose a current deployed capability.,ecefa070a45e4e23,Actionable,train,True,True,update_existing_label,labeling_batch_v3,e8670325d27532fe,1616533.0,2024.0
5,irr,human_human_as_disagreement,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",Irrelevant,Carried forward from fixed probe adjudication.,0bd4675009165f2d,Actionable,train,True,True,update_existing_label,labeling_batch_v1,966d3309fbe43b6f,1023994.0,2024.0
6,irr,human_human_as_disagreement,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",Speculative,Carried forward from fixed probe adjudication.,e574f720ec83c9a4,Speculative,train,True,False,retain_existing_label,labeling_batch_v3,7c3bc0ff7f98b447,1978111.0,2024.0
7,irr,human_human_as_disagreement,"Dr. Bunting has other ongoing active business investments in the evolving internet artificial intelligence industry, as it relates to marketing and advertising.",Irrelevant,This is an investment or exposure reference rather than a capability claim by the reporting firm.,57077ab820d1730f,Speculative,train,True,True,update_existing_label,labeling_batch_v3,82b2d2b0d27928d2,1103795.0,2024.0
8,irr,human_human_as_disagreement,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",Actionable,"The sentence implies current machine learning models already support customer capture and segmentation, even though further enhancement is ongoing.",012872fb0537f778,Speculative,validation,True,True,update_existing_label,labeling_batch_v1,8841c17407b5b230,1116132.0,2024.0
9,irr,human_human_as_disagreement,"The process continues by acquiring building data to analyze energy consumption to quickly identify savings (and hence, improved NOI) with intelligent machine learning.",Actionable,This describes a current ML-based operational process for analyzing energy consumption and identifying savings.,5b5721dc9ba6a21e,Speculative,validation,True,True,update_existing_label,labeling_batch_v3,c1893bcf4fffa083,1108645.0,2024.0
23,heldout,heldout_model_as_error,Other companies may develop AI features and technologies that are similar or superior to our technologies or are more cost-effective to develop and deploy.,Irrelevant,This is a competition statement and does not independently disclose a present AI capability by the firm.,,,,False,True,benchmark_only,,,,
24,heldout,heldout_model_as_error,"In 2024, we intend to focus on six key investment areas: AI, the metaverse, our discovery engine, monetization of our products and services, regulatory readiness, and enhancing developer efficiency to build, iterate, and optimize products quickly.",Speculative,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
25,heldout,heldout_model_as_error,"Further, our ability to continue to develop and effectively deploy AI technologies is dependent on access to specific third-party equipment and other physical infrastructure, such as processing hardware and network capacity, as to which we cannot control the availability or pricing, especially in a highly competitive environment.",Irrelevant,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
26,heldout,heldout_model_as_error,"We manage, identify and assess risks from cybersecurity threats by monitoring and evaluating our threat environment and risk profile using various methods including, for example: through the use of automated tools, including but not limited to tools for monitoring, geolocation, remote wiping, threat detection, intrusion detection and prevention (including through the use of machine learning, a form of artificial intelligence), patch management, distributed denial of service (DDoS) protection and forensics; conducting (directly or through third parties) regular audits and threat assessments for internal and external threats; subscribing to reports and services that identify cybersecurity threats; analyzing reports of threats and actors; conducting vulnerability assessments to identify vulnerabilities; evaluating our and our industry s risk profile; conducting tabletop incident response exercises; and evaluating threats reported to us.",Actionable,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
27,heldout,heldout_model_as_error,"We also expect to face additional competition as we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the development and application of new technologies such as AI.",Irrelevant,AI appears in a competition context rather than as a direct current-use disclosure.,,,,False,True,benchmark_only,,,,
28,heldout,heldout_model_as_error,AIQ also enables a series of AI-driven origination tasks and real-time risk analysis that are intended to further improve customer workflow efficiency.,Actionable,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
29,heldout,heldout_model_as_error,"We also believe that there is increasing competition for our vehicle offerings as a platform for delivering self-driving technologies, charging solutions and other features and services, and we expect to compete in this developing market through continued progress on our Autopilot, FSD and neural network capabilities, Supercharger network and our infotainment offerings.",Speculative,The sentence is forward-looking competition language tied to continued progress on named capabilities rather than a clean current-use claim.,,,,False,True,benchmark_only,,,,
30,heldout,heldout_model_as_error,"We believe that there is also increasing competition for our vehicle offerings as a platform for delivering self-driving technologies, charging solutions and other features and services, and we expect to compete in this developing market through continued progress on our Autopilot, FSD and neural network capabilities, Supercharger network and our infotainment offerings.",Speculative,The sentence is forward-looking competition language tied to continued progress on named capabilities rather than a clean current-use claim.,,,,False,True,benchmark_only,,,,
31,heldout,heldout_model_as_error,"Our calculations of MAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",Actionable,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
32,heldout,heldout_model_as_error,"Our calculations of DAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",Actionable,The firm currently relies on machine learning models in a live measurement process.,,,,False,True,benchmark_only,,,,
33,heldout,heldout_model_as_error,"To calculate these metrics, we rely upon complex techniques, algorithms and machine learning models that seek to count the individual people behind user accounts, including by matching multiple user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",Actionable,The firm currently relies on machine learning models in a live measurement process.,,,,False,True,benchmark_only,,,,
