family,year,threshold,id,org_raw,matched_term,score,second_score,cik,name,title
grant,2024,0.9,11965984,NEW POCKET DEVICE CORP.,new,1.0,,1593538,NAVIENT CORP,Night vision device with distance measurement function and implementation thereof
grant,2024,0.9,12003781,"INTELLECTUAL DISCOVERY CO., LTD.",discovery,1.0,,1437107,WARNER BROS DISCOVERY INC,Video coding method and apparatus utilizing group of encoding units
grant,2024,0.9,D1037281,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Display screen with animated graphical user interface for card communication
grant,2024,0.9,11971868,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Method and system for implementing a fast dataset search using a compressed representation of a plurality of datasets
grant,2024,0.9,12068945,"XI'AN ZHONGXING NEW SOFTWARE CO., LTD.",new,1.0,,1593538,NAVIENT CORP,"Rerouting method and apparatus achieving fast rerouting for affected service in sliced network, electronic device, and computer readable medium"
grant,2024,0.9,12088746,"Jiangsu Kangrui New Material Technology Co., Ltd.",new,1.0,,1593538,NAVIENT CORP,Cell phone frame and method for manufacturing the same
grant,2024,0.9,12026749,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Content optimization on a social media platform based on third-party data
grant,2024,0.9,D1025323,"CIXI CITY SANYANG ELECTRONIC CO., LTD.",city,1.0,,726854,CITY HOLDING CO,Storage water heater
grant,2024,0.9,12133134,Universal City Studios LLC,city,1.0,,726854,CITY HOLDING CO,Systems and methods for controlling an operation of an attraction system
grant,2024,0.9,11954156,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Methods and systems for template generation
grant,2024,0.9,12136123,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for data monitoring
grant,2024,0.9,11891399,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,discovery,1.0,,1437107,WARNER BROS DISCOVERY INC,"Inhibitors of cancer invasion, attachment, and/or metastasis"
grant,2024,0.9,12115519,"Rutgers, the State University of New Jersey",new,1.0,,1593538,NAVIENT CORP,Near infrared photocatalyst based on TiO2-coated gold nanoparticles
grant,2024,0.9,11954545,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,System and method using a histogram and colorspaces to create a matrix barcode
grant,2024,0.9,12088491,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Techniques for payment-based network transmissions
grant,2024,0.9,12002086,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Visualizing interest charges based on payment options
grant,2024,0.9,11934388,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Transaction processing failover
grant,2024,0.9,12159272,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,"System, method, and computer-accessible medium for detecting and remediating in-person cart abandonment"
grant,2024,0.9,12168500,"Dong Guan City Blue Dolphin Sporting Goods Co., Ltd",city,1.0,,726854,CITY HOLDING CO,Diving mask
grant,2024,0.9,11989514,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Identifying high effort statements for call center summaries
grant,2024,0.9,12143485,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for dynamically updating metadata during blockchain functions
grant,2024,0.9,D1030778,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Display screen or portion thereof with a graphical user interface
grant,2024,0.9,12136024,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems for content recognition and content-based network link storage and methods of use thereof
grant,2024,0.9,11912995,City of Hope,city,1.0,,726854,CITY HOLDING CO,CTLA-4 aptamer conjugates
grant,2024,0.9,11966921,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for using proxy number tokens with configurable relationship data bindings
grant,2024,0.9,11928318,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,AI-powered tagging and UI/UX optimization engine
grant,2024,0.9,11993542,"SOBUTE NEW MATERIALS CO., LTD.",new,1.0,,1593538,NAVIENT CORP,Multifunctional cement hydration heat control material and manufacturing method therefor
grant,2024,0.9,11995131,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Document management platform
grant,2024,0.9,11893097,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,System to utilize user's activities pattern as additional authentication parameter
grant,2024,0.9,12027739,"Shenhua New Energy Co., Ltd.",new,1.0,,1593538,NAVIENT CORP,Sealing structure for stack tower and stack tower
grant,2024,0.9,D1040282,"NEW REVO BRAND GROUP, LLC",new,1.0,,1593538,NAVIENT CORP,Adapter sleeve for vise block
grant,2024,0.9,12098101,"JIANGSU ZENGGUANG NEW MATERIAL TECHNOLOGY CO., LTD",new,1.0,,1593538,NAVIENT CORP,Micro-surfacing sealing coat mixture and preparation method thereof
grant,2024,0.9,11917199,"INTELLECTUAL DISCOVERY CO., LTD.",discovery,1.0,,1437107,WARNER BROS DISCOVERY INC,Image encoding/decoding methods and apparatuses
grant,2024,0.9,12051164,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Augmented reality at a front-end device
grant,2024,0.9,12132544,"XI'AN ZHONGXING NEW SOFTWARE CO., LTD.",new,1.0,,1593538,NAVIENT CORP,"Downlink signal processing method and apparatus, and base station"
grant,2024,0.9,12093409,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Methods and systems for facilitating joint submissions
grant,2024,0.9,12007571,"Mentor Acquisition One, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Suppression of stray light in head worn computing
grant,2024,0.9,11998419,Southern Implants (PTY) Ltd,southern,1.0,,92122,SOUTHERN CO,Angulated dental implant
grant,2024,0.9,11911076,SOUTHERN CROSS PATENTS PTY LTD,southern,1.0,,92122,SOUTHERN CO,Pedicle screws
grant,2024,0.9,11917229,"XI'AN ZHONGXING NEW SOFTWARE CO., LTD.",new,1.0,,1593538,NAVIENT CORP,"Control method, system, device, and medium of unified playback control system"
grant,2024,0.9,12077807,The Research Foundation for The State University of New York,new,1.0,,1593538,NAVIENT CORP,Compositions and methods for analyte detection using nanoswitches
grant,2024,0.9,11909046,The Research Foundation for The State University of New York,new,1.0,,1593538,NAVIENT CORP,Synthetic methods for crystallite size control of bimetallic polyanionic battery compositions
grant,2024,0.9,12086044,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Methods and systems for monitoring computing processes
grant,2024,0.9,11861447,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Devices and methods for providing emergency information using a payment card
grant,2024,0.9,12054786,"New Day Diagnostics, LLC",new,1.0,,1593538,NAVIENT CORP,Methods for detecting CpG methylation and for diagnosing cancer
grant,2024,0.9,12073381,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Transaction token that stores and presents location-specific token identifiers
grant,2024,0.9,12027660,"Rutgers, the State University of New Jersey",new,1.0,,1593538,NAVIENT CORP,Electrochemical cell having thin metal foil packaging and a method for making same
grant,2024,0.9,12112311,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Symbols to indicate which ATM to use
grant,2024,0.9,11886526,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Customized navigation flow
grant,2024,0.9,11935046,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Immutable database for processing retroactive and historical transactions using bitemporal analysis
grant,2024,0.9,D1026806,"AUTEL NEW ENERGY CO., LTD.",new,1.0,,1593538,NAVIENT CORP,Charging station for electric vehicles
grant,2024,0.9,12118084,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Automatic selection of data for target monitoring
grant,2024,0.9,12083139,NEW YORK UNIVERSITY,new,1.0,,1593538,NAVIENT CORP,Use of IGF-2 receptor agonist ligands for treatment of Angelman Syndrome and autism
grant,2024,0.9,11868832,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Card and method for making the same
grant,2024,0.9,11993792,"New England Biolabs, Inc.",new,1.0,,1593538,NAVIENT CORP,"DNase I variants, compositions, methods, and kits"
grant,2024,0.9,11964941,City of Hope,city,1.0,,726854,CITY HOLDING CO,5-Bromo-indirubins
grant,2024,0.9,11934900,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Transaction card assembly
grant,2024,0.9,12008539,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Sorted parallel processing of a large dataset
grant,2024,0.9,11934549,"Advanced New Technologies Co., Ltd.",new,1.0,0.9032,1593538,NAVIENT CORP,"Invoice access method and apparatus based on blockchain, and electronic device"
grant,2024,0.9,11958620,HANGZHOU CITY UNIVERSITY,city,1.0,,726854,CITY HOLDING CO,Hydrogen electric hybrid power plant for hovercar and control method
grant,2024,0.9,11993710,"Wildcat Discovery Technologies, Inc.",discovery,1.0,0.9032,1437107,WARNER BROS DISCOVERY INC,Composite solid state electrolyte and lithium ion battery containing the same
grant,2024,0.9,11886890,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,User interface common components and scalable integrable reusable isolated user interface
grant,2024,0.9,11963788,CITY UNIVERSITY OF HONG KONG,city,1.0,,726854,CITY HOLDING CO,Graph-based prostate diagnosis network and method for using the same
grant,2024,0.9,12151575,AULTON NEW ENERGY AUTOMOTIVE TECHNOLOGY GROUP,new,1.0,,1593538,NAVIENT CORP,Visual positioning method and system for battery replacement device
grant,2024,0.9,11922254,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Devices and methods for contactless card alignment with a foldable mobile device
grant,2024,0.9,11904653,"ZHEJIANG JIZHI NEW ENERGY AUTOMOBILE TECHNOLOGY CO., LTD",new,1.0,0.9286,1593538,NAVIENT CORP,Integrated radiator assembly
grant,2024,0.9,12122687,The Research Foundation for The State University of New York,new,1.0,,1593538,NAVIENT CORP,Method for nitrogen removal and nitrogen salts recovery using carboxylated cellulose extracted by nitro-oxidation
grant,2024,0.9,11908183,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,"Image analysis and processing pipeline with real-time feedback and autocapture capabilities, and visualization and configuration system"
grant,2024,0.9,D1031822,"Yiwu City Chi'ao Trading Co., Ltd.",city,1.0,,726854,CITY HOLDING CO,Sunglasses with strap for baby and toddler
grant,2024,0.9,11858956,Southern Research Institute,southern,1.0,,92122,SOUTHERN CO,6-aza-nucleoside prodrugs as antiviral agents for treating virus infections
grant,2024,0.9,12104970,"SHENZHEN NEW DEGREE TECHNOLOGY CO., LTD.",new,1.0,,1593538,NAVIENT CORP,"Pressure sensing device, pressure sensing method and equipment with temperature compensation"
grant,2024,0.9,12093817,CITY UNIVERSITY OF HONG KONG,city,1.0,,726854,CITY HOLDING CO,Artificial neural network configuration and deployment
grant,2024,0.9,12127052,"XI'AN ZHONGXING NEW SOFTWARE CO., LTD.",new,1.0,,1593538,NAVIENT CORP,"Frequency band switching method, apparatus, terminal device, communication node and computer readable storage medium"
grant,2024,0.9,12020319,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Automated risk prioritization and default detection
grant,2024,0.9,12007034,TotalEnergies Onetech (previously TotalEnergies One Tech),one,1.0,,1816613,MARKFORGED HOLDING CORP,Injection valve for an analysis apparatus
grant,2024,0.9,11942877,CITY UNIVERSITY OF HONG KONG,city,1.0,,726854,CITY HOLDING CO,"Triboelectric generator, biomechanical energy harvester, and method of making triboelectric material"
grant,2024,0.9,12132726,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Authenticating a user device via a monitoring device
grant,2024,0.9,12018014,"Shandong New Time Pharmaceutical Co., Ltd.",new,1.0,,1593538,NAVIENT CORP,"Pyrrole-substituted indolone derivative or pharmaceutically acceptable salts thereof, and preparation method therefor and application thereof"
grant,2024,0.9,12020102,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for producing non-standard shaped cards
grant,2024,0.9,12080088,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Image analysis to mine document information
grant,2024,0.9,11972599,"Advanced New Technologies Co., Ltd.",new,1.0,0.9032,1593538,NAVIENT CORP,Method and apparatus for generating vehicle damage image on the basis of GAN network
grant,2024,0.9,12174900,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Automatic updates to instruction documents using crowdsourcing
grant,2024,0.9,12007729,"New Electricity Transmission Software Solutions, Inc.",new,1.0,,1593538,NAVIENT CORP,Method for autonomous stable energy management of aircraft/spacecraft turbo-electric distributed propulsion (TEDP) systems
grant,2024,0.9,12141804,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Dynamic transaction card protected by multi- factor authentication
grant,2024,0.9,12081872,"XI'AN ZHONGXING NEW SOFTWARE CO., LTD.",new,1.0,,1593538,NAVIENT CORP,Anti-shake camera and terminal
grant,2024,0.9,12073770,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for correcting ambient-light illuminance differences of ambient light directed onto regions of a display
grant,2024,0.9,12014411,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Vehicle listing generation and optimization system
grant,2024,0.9,11922376,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for using a transaction to collect additional transaction information
grant,2024,0.9,12002584,NEW YORK UNIVERSITY,new,1.0,,1593538,NAVIENT CORP,System to detect dielectric changes in matter
grant,2024,0.9,12051022,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Discriminative model for identifying and demarcating textual features in risk control documents
grant,2024,0.9,11989665,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Methods and systems for customizing recommendations based on user actions
grant,2024,0.9,11898349,"NEW HUDSON FACADES, LLC",new,1.0,,1593538,NAVIENT CORP,Unitized curtainwall systems and methods
grant,2024,0.9,12152134,"SHAOXING PINGHE NEW MATERIAL TECHNOLOGY CO., LTD.",new,1.0,,1593538,NAVIENT CORP,"Rubber composition, processing method thereof, and high-strength product using the same"
grant,2024,0.9,11887083,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Computer-based systems configured to provide a portal for migrating one or more existing relationships from one entity to another entity and methods of use thereof
grant,2024,0.9,11917082,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Third party certificate management for native and third party mobile apps
grant,2024,0.9,12009656,One Wave LLC,one,1.0,,1816613,MARKFORGED HOLDING CORP,Methods and systems for protection of electric network from transient electromagnetic surges using inline embedded mitigation
grant,2024,0.9,12008623,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for user platform based recommendations
grant,2024,0.9,12170968,"Lenovo (Singapore) Pte. Ltd., New Tech Park",new,1.0,,1593538,NAVIENT CORP,Power headroom report generation
grant,2024,0.9,11917511,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Activation of short-range wireless communication via remote activation signal
grant,2024,0.9,11931353,CITY UNIVERSITY OF HONG KONG,city,1.0,,726854,CITY HOLDING CO,"Methods of preventing or treating flavivirus virus infections and methods of inhibiting the entry of flvivirus, enterovirus or lentivirus into host cells"
grant,2024,0.9,D1009538,"New Classic Home Furnishings, Inc.",new,1.0,,1593538,NAVIENT CORP,Headboard and footboard set
grant,2024,0.9,12169532,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Methods and systems for providing authenticated one-click access to a customized user interaction-specific web page
grant,2024,0.9,11862921,"SHENZHEN CITY LINQUAN TECHNOLOGY CO., LTD",city,1.0,,726854,CITY HOLDING CO,Connector insert device for automatic switching of connector fixtures
grant,2024,0.9,D1032690,"NingBo New Beam Digital Electronic Technology CO., LTD",new,1.0,,1593538,NAVIENT CORP,Webcam
grant,2024,0.9,11874918,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Computer-based platforms and systems configured to enhance a call screen with user-controlled notes associated with the call and methods of use thereof
grant,2024,0.9,11995484,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,System and method for triggering an event in response to a point-of-sale transaction
