irr_item_id,sample_id,batch_row_id,sentence_id,sentence,source_cik,source_year,source_form,source_file,sentence_index,ff12_code,ff12_name,rater1_label,rater2_label,disagreement_pair,transition,final_label,adjudication_note
a07133e18416473b,49fac59fad5624d3,49fac59fad5624d3,00b7f669d50a2cec,These clients are consciously evaluating potential areas where AI-enabled technologies could be utilized in the future.,1720420,2024,10-K,2024/QTR3/20240912_10-K_edgar_data_1720420_0001720420-24-000042.txt,8,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Irrelevant,
73b21526e0018334,6687ff9d0220c3c1,6687ff9d0220c3c1,273dee4547765cb6,"Additionally, accelerating AI trends could catalyze the smartphone transformation with incremental content driving unprecedented functional and physical densities.",4127,2024,10-K,2024/QTR4/20241115_10-K_edgar_data_4127_0000004127-24-000131.txt,4,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Irrelevant,
f7a9d8ed21ba97ab,6c457c2fff577088,6c457c2fff577088,7f149b24b4a063a6,"We plan to build Earth-2, a digital twin of the Earth on NVIDIA AI and NVIDIA Omniverse platforms.",1045810,2024,10-K,2024/QTR1/20240221_10-K_edgar_data_1045810_0001045810-24-000029.txt,56,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Irrelevant,
8e50645be7ce70dc,78396ddc85221989,78396ddc85221989,7598cdd1dc7647ff,"Advancements in technology, such as advanced safety systems; automated package sorting, handling, and delivery; autonomous delivery; third-party supply chain insight and management; artificial intelligence; vehicle platooning; alternative fuel vehicles; and digitization of freight services, may necessitate that we increase investments in order to remain competitive, and our customers may not be willing to accept higher rates to cover the cost of these investments.",1048911,2024,10-K,2024/QTR3/20240715_10-K_edgar_data_1048911_0000950170-24-083577.txt,13,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Speculative,
a37a2f892132db1b,7c3bc0ff7f98b447,7c3bc0ff7f98b447,e574f720ec83c9a4,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",1978111,2024,10-K,2024/QTR4/20241009_10-K_edgar_data_1978111_0001683168-24-007024.txt,5,12,Other,Speculative,Actionable,A_vs_S,S->A,Speculative,
b15fd04cb076182e,80cf4a6334cba61a,80cf4a6334cba61a,5f33da566a302435,"The ongoing development of AI and machine learning, algorithms, sensors, and flight control systems paves the way for fully autonomous eVTOL services in the future.",1481504,2024,10-K,2024/QTR4/20241008_10-K_edgar_data_1481504_0001477932-24-006252.txt,3,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Speculative,
c42e42dc5925e1ea,82b2d2b0d27928d2,82b2d2b0d27928d2,57077ab820d1730f,"Dr. Bunting has other ongoing active business investments in the evolving internet artificial intelligence industry, as it relates to marketing and advertising.",1103795,2024,10-K,2024/QTR2/20240409_10-K_edgar_data_1103795_0001683168-24-002236.txt,1,12,Other,Speculative,Actionable,A_vs_S,S->A,Speculative,
30800c922b72d436,8841c17407b5b230,8841c17407b5b230,012872fb0537f778,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",1116132,2024,10-K,2024/QTR3/20240815_10-K_edgar_data_1116132_0001116132-24-000018.txt,1,12,Other,Speculative,Actionable,A_vs_S,S->A,Speculative,
dec17455e80df4b8,c1893bcf4fffa083,c1893bcf4fffa083,5b5721dc9ba6a21e,"The process continues by acquiring building data to analyze energy consumption to quickly identify savings (and hence, improved NOI) with intelligent machine learning.",1108645,2024,10-K,2024/QTR2/20240401_10-K_edgar_data_1108645_0001477932-24-001631.txt,1,12,Other,Speculative,Actionable,A_vs_S,S->A,Speculative,
0ab24d03c8239142,c76d591489724f5f,c76d591489724f5f,04c7039933b959aa,"Additionally, the proliferation of generative AI applications is expected to accelerate the creation of digital content such as text, images and video over the long-term.",1137789,2024,10-K,2024/QTR3/20240802_10-K_edgar_data_1137789_0001137789-24-000068.txt,5,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Irrelevant,
02578338add32948,df42379864a36f3b,df42379864a36f3b,2387103833acfbe8,"In the future, we directly or through our third-party provided information technology systems or software may incorporate artificial intelligence AI capabilities into our business.",1052752,2024,10-K,2024/QTR1/20240215_10-K_edgar_data_1052752_0000950170-24-015982.txt,1,12,Other,Speculative,Actionable,A_vs_S,S->A,Speculative,
105f3b5a348c31a2,e65f490dbe214fd0,e65f490dbe214fd0,98c50baf6f6271ea,"Plan of Operation We devote substantial efforts to enter into new-emerging application industries of Internet Technology, Artificial Intelligence (AI) and the Internet of Things (IOT).",1438461,2024,10-K,2024/QTR3/20240715_10-K_edgar_data_1438461_0001640334-24-001102.txt,2,12,Other,Speculative,Actionable,A_vs_S,S->A,Speculative,
1a074f393fc0c04a,f106467bc3b0f7bc,f106467bc3b0f7bc,3f1206a26b863eeb,We believe that one of the most significant drivers of longer-term wearable display market adoption that will change the future of computing and result in broad adoption of AR in smaller wearable packages will be the augmentation of the real world with cloud-based information and AI.,1463972,2024,10-K,2024/QTR2/20240415_10-K_edgar_data_1463972_0001558370-24-005117.txt,5,12,Other,Speculative,Irrelevant,I_vs_S,S->I,Irrelevant,
887b5b7b3f92667d,966d3309fbe43b6f,966d3309fbe43b6f,0bd4675009165f2d,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",1023994,2024,10-K,2024/QTR2/20240507_10-K_edgar_data_1023994_0001213900-24-040541.txt,1,3,Manuf,Actionable,Speculative,A_vs_S,A->S,Actionable,
