irr_item_id,sentence,rater2_label,rater2_note
45bd86334b5a4e72,"We are in the early stages of implementing our plan for the construction and operation of clean-energy-powered data centers to lease to large enterprise information technology (IT) customers that are creating or addressing the growing demand for AI, Cloud and High-Performance Computing (HPC) digital services.",,
024297e81b8cb4dc,"32 We have integrated, and may continue to integrate in the future, open-source AI algorithms in certain tools and features available on our platform.",,
ffedb9462e84d4d4,"Further, we use AI/ML in many aspects of our business, including fraud, credit risk analysis, consumer support and product personalization.",,
a68453b3b335e6cd,"In fiscal 2023, we introduced pAInt, a generative AI wallpaper maker in the Zedge App.",,
75b771819a154b65,Overview Iveda specializes in AI and digital transformation technologies with real-world applications that improve quality of life and safety worldwide.,,
93482f17dba4e72c,"At NETSOL, we specialize in harnessing the transformative power of Generative AI to drive innovative solutions and powerful outcomes for businesses.",,
492dc161d9467f77,"Their telehealth services,, powered by AI-driven AskVet, are being expanded across the organization, further enriching our member service offerings.",,
8b17e3468ddc4cfe,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",,
811143c7d3b7df3a,"Our solutions help firms reduce regulatory, financial, and reputational risk through workflow and automation, AI, predictive analytics, and rules-based risk scoring.",,
2d35e50d075b61e4,"The Company's Cylance AI and machine learning-based platform consists of CylanceENDPOINT , CylanceGUARD , CylanceEDGE , CylanceINTELLIGENCE and other cybersecurity applications.",,
30800c922b72d436,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",,
c28c48457924ec10,We are investing significant resources in: Our marketplace user experiences; Upgrading our sellers tools to be fully mobile-responsive; Developing industry-specific asset upload templates making it easier to sell on our marketplaces; and Leveraging generative AI and other automation technologies to create efficiencies across the enterprise.,,
34dd4069e0f51361,"During fiscal 2024, we implemented specialized programming to upskill employees in Generative AI, adopting a tailored approach that catered to varying levels of existing knowledge, ranging from offering foundational insights into GenAI concepts to providing advanced technical training aimed at equipping our engineers with the knowledge to develop cutting-edge GenAI products.",,
a26bd6c97ff02f85,Marketing Edge leverages conversational intelligence with generative AI to form a comprehensive marketing attribution and conversation data solution.,,
07128f55eee65089,"BOSS Money's growth strategy includes: Expansion of our international payout network with a focus on certain popular destinations in Africa and Asia; Expansion of origination beyond the United States and Canada to the United Kingdom and, potentially over the longer term, to European countries with large immigrant populations; Continued migration of our BOSS Revolution and IDT Digital Payments customers from competitors to BOSS Money; Further enhancement to our BOSS Money app, BOSS Revolution app and retailer portal; Increasing the number of BOSS Money retail agents; and Addition of new features and offerings. net2phone net2phone's revenues were 82.3 million in fiscal 2024 compared to 72.4 million in fiscal 2023. net2phone's income from operations was 1.7 million in fiscal 2024 compared to loss from operations of 2.8 million in fiscal 2023. net2phone enables its customers to transform their communications by leveraging its cloud platform to provide solutions that enable more intelligent, flexible and adaptive communications. net2phone operates in the United States, Canada, Mexico, Central and South America and Spain. net2phone's offerings include: Unified Communications as a Service (UCaaS): net2phone's Unite branded UCaaS service utilizes its cloud platform to provide conversational continuity across channels from any connected device tethered or mobile and to measure, manage and analyze those communications for enhanced insight and productivity. net2phone provides its UCaaS customers that convert from on-premise PBXs with advanced Internet Protocol, or IP, desktop phones and/or with a bring-your-own-device solution accessed through its integrated web portal and through net2phone's mobile app. net2phone's UCaaS service includes multi-channel communications with voice management features, unlimited domestic and international calling to over 40 countries, robust messaging and chat tools, voicemail to email transcription, client analytics, AI-powered functionalities including instant call summaries and transcripts, internal team chat, the net2phone Huddle video conferencing service, and reporting and system management capabilities accessed through its online console. net2phone's UCaaS service integrates seamlessly with business communication platforms (such as Microsoft Teams and Slack), leading customer relationship management, or CRM, services (such as SalesForce, Zoho and others) and text-based communications platforms. net2phone adds features, enhancements and integrations on a regular basis leveraging its agile development philosophy.",,
52ecf34eeb6b4446,"HawkSearch's Smart Response leverages generative AI to summarize, synthesize, compare or start a conversation with the visitor to help find the most relevant results.",,
00e4a2604a0468ec,"We have entered into a Loan Agreement with Beyebe AI pursuant to which we may borrow up to 1,000,000 to fund our operations.",,
0ef18d0d3f6a2359,"CRISPR-IL brings together the leading experts in life science and computer science from academia, medicine, and industry, to develop AI based end-to-end genome-editing solutions.",,
ff88177e3375d3bd,"We have deployed data analytics and machine learning, to enable operations to be predictive, reduce risk, improve safety, and reduce costs.",,
dec17455e80df4b8,"The process continues by acquiring building data to analyze energy consumption to quickly identify savings (and hence, improved NOI) with intelligent machine learning.",,
0a6ad745a23579f2,"Web application firewalls are designed to protect external facing applications, while our email security gateway utilizes machine learning and multilayered detection techniques designed to filter malicious emails.",,
8374e74756279f75,"Furthermore, we continue to extend our engineering capabilities into more advanced technologies such as software, generative AI, cloud services, data analytics, machine learning, and some core building blocks of navigation and tracking for spatial computing and augmented/virtual reality environments.",,
ab9d27f3ac12cc97,Our product solutions are comprised of three proprietary software platforms: Advertising Technology Operating System (ATOS Platform) Data Intelligence Platform Publisher Platform for Monetization and Compliance Our Products The ATOS Platform Our ATOS platform blends artificial intelligence (or AI) and machine learning (ML) based optimization technology for automatic ad serving that manages digital advertising inventory and campaigns.,,
950c94b44ec69fb5,"We use artificial intelligence (AI), including generative AI, in many parts of our value chain.",,
3da7f89dde05a2ed,Our goal is to constantly improve our HR-Tech platform to address present and future market needs by offering a unique combination of proprietary artificial intelligence AI based technology with a do-it-yourself sourcing experience able to match candidates to jobs without having to use keyword searches or Boolean strings.,,
9e980ac71f02390d,"For example, we use a combination of statistical methods leveraging machine learning and artificial intelligence algorithms in connection with our underwriting and risk processes to review certain key alternative asset valuations, investment information, and limited partnership agreement terms (e.g., net asset values, net asset value as of dates, commitment periods, permitted investments and expenses).",,
2c331ceb8cf24075,"Ms. Xu was as a senior customer manager at Beijing Sensetime Technology Development Co., Ltd., a leading AI software company focused on innovating for a better AI-empowered future, from May 2018.",,
b162d7cf2e386f7e,"In addition, Dow Jones produces customized Due Diligence Reports to assist its customers with regulatory compliance, including IntegrityCheck, a generative AI-enabled automated report.",,
68652b49305bd892,Huidor recently developed cineSearch which is the Company's AI-based conversational chatbot for advanced content recommendations.,,
26ab573528eeaafa,"Recently, we published a revised edition of this pioneering work with generative AI updates, including relevant AI-powered product info, customer case studies, and best-practices.",,
aa93d9529c08a614,"From February 2021 to April 2022, Benjamin has served as Senior Capital Market Advisor for Iveda Solutions, Inc. (NASDAQ: IVDA), an AI and IoT technology company to assist with financing and uplisting to Nasdaq.",,
2f3f377d32e881d9,"Our introduction and use of AI may present business, compliance, and reputational challenges that could lead to operational or reputational damage, competitive harm, legal and regulatory risk, and additional costs, any of which could materially and adversely affect our business, financial condition, and results of operations.",,
09c075855654cce4,"As with many new and emerging technologies, AI presents numerous risks and challenges that could adversely affect our business.",,
947f565c725abaa1,The rapid evolution and increased adoption of AI technologies may intensify our cybersecurity risks.,,
56cc964767626265,The rapid evolution and increased adoption of artificial intelligence technologies have also given rise to additional vulnerabilities and potential entry points for cyber threats.,,
14abd2355f67723f,"In particular, the legal and regulatory landscape governing AI remains unsettled, and developments in this area may adversely impact our business.",,
e3ba47a8b9601acc,"Additionally, search engines may incorporate artificial intelligence into their platforms in ways that we cannot predict.",,
8dbe798b0c5bfa6f,"AI technologies are complex, and generative AI technologies, in particular, are rapidly evolving.",,
03a36e29620b82e1,"Our AI products may not operate as anticipated, which could adversely affect our reputation, revenues and profitability.",,
d5d899b05bf310dc,"AI models, particularly generative AI models, may produce output or take action that is incorrect, that result in the release of private, confidential or proprietary information, that reflect biases included in the data on which they are trained, infringe on the intellectual property rights of others, or that is otherwise harmful or which produce outcomes contrary to the expectations of consumers.",,
986f32cd3fa63099,"If our use of AI becomes controversial, we may experience brand or reputational harm, competitive harm, or legal liability.",,
8e9fc5d8660a3bf3,"Cyber attacks could include viruses, malicious or destructive code, phishing attacks, denial of service attacks, supply chain attacks, ransomware and other extortion-based attacks, improper access by third parties, attacks on email systems, and attacks leading to data loss, operational control, or exploitation of vulnerabilities specific to internally developed systems or to those provided and/or maintained by our suppliers, including those attacks arising from or generated by artificial intelligence, among various other security breaches.",,
53c6010cfc2b2966,"Failure to develop and adopt artificial intelligence (""AI"") technology could also hinder our competitiveness and growth potential.",,
727b22ffdade45ba,"For example, disruptive technologies such as AI/ML may significantly alter the market for our products in unpredictable ways and reduce customer demand.",,
17ccdb7920fc82f0,"Further, we expect that the breadth and complexity of our IT systems and infrastructure will increase as we expand our product offerings to utilize cloud technologies and potentially artificial intelligence, which present inherent enterprise technology risks, including those related to privacy, data protection and cybersecurity, that need to be managed.",,
38026146c87a129f,"Further, the use of generative artificial intelligence tools may compromise confidential or sensitive information, put our intellectual property at risk, or subject us to claims of intellectual property infringement, all of which could damage our reputation.",,
25e83aacff08782e,"Should our AI generate suboptimal or contentious outcomes, or if public perception of AI shifts negatively due to perceived risks, we may encounter operational challenges, competitive disadvantages, legal liabilities, reputational harm, or other business impacts.",,
9ae39cdd49709e4b,"Additionally, the rapid evolution of artificial intelligence and integration of machine learning technologies into our internal systems may intensify our cybersecurity risks and create new risks to our business, operations, and financial condition.",,
c6214016bae71750,"Such competitors could also have preferential access to content and important technologies, such as artificial intelligence AI , customer data or other competitive information.",,
9b68a84fbee986b4,"In addition, due to the fast pace and unpredictability of cybersecurity threats, including from emerging technologies, such as advanced forms of machine learning, AI and quantum computing, long-term implementation plans designed to address cybersecurity risks become obsolete quickly and, in some cases, it may be difficult to anticipate or immediately detect such incidents and the damage they cause.",,
4fe864b838d5541f,"These techniques include using artificial intelligence (AI), including generative AI to enhance their attacks, which may increase our cybersecurity risk.",,
d0fd32e0246ddf0c,"With generative AI tools, threat actors may have additional tools to automate breaches or persistent attacks, evade detection, or generate sophisticated phishing emails.",,
e5255aaad300a8b9,"The risk of a security breach or disruption, particularly through cyber attack, including by computer hackers, foreign governments and cyber terrorists, has generally increased as the number, intensity and sophistication of attempted attacks from around the world have increased, including through the use of artificial intelligence.",,
e9b5a09237790f85,"AI also introduces new risks, due to the autonomous nature of the technology, which, in some cases, may be deployed to perform tasks, inform decisions, automate decisions, and make predictions.",,
7a8726494e0242f2,Regulations related to artificial intelligence may also impose on us certain obligations and costs related to monitoring and compliance.,,
7a0db3e62bb09cf2,"Additionally, sensitive data of the Company or our customers could be leaked, disclosed, or revealed as a result of or in connection with our employees , personnel's, or vendors use of generative AI technologies.",,
8c907a074b485996,This aligns with industry trends and the anticipated incremental spend on application and data security due to generative AI.,,
c6c3a2e6cbc293ea,"Our applications and uses of trademarks relating to our design, software or artificial intelligence technologies could be found to infringe upon existing trademark ownership and rights.",,
3c68f9c266438ab4,"Also, if we fail to keep pace with rapidly evolving technological developments in artificial intelligence, our competitive position and business results may suffer.",,
93e81319dd0d68cf,"If the Company is unable to maintain a compelling web presence, including by successfully responding to new technology trends (such as generative artificial intelligence), competitors' websites may be perceived as easier to use or better able to satisfy customer needs.",,
0cecd7c76e977d23,"Further, if we fail to adopt these new technologies, we may face price pressure from competitors using lower-cost AI systems.",,
5d000e645e8065fe,"To the extent artificial intelligence capabilities improve and are increasingly adopted, they may be used to identify vulnerabilities and craft increasingly sophisticated cybersecurity attacks.",,
19996e7336662d83,"Moreover, the rapid evolution and increasing adoption of artificial intelligence technologies could both intensify our cybersecurity risks and introduce new risks.",,
f83cd61fde90f3ef,"Additionally, as we increase our use of artificial intelligence tools into our operations, the risk of unauthorized access to our data and of making compliance errors or erroneous decisions based on our reliance on the AI tool will increase.",,
85915399136cc104,"The use of AI, particularly generative AI, presents opportunities as well as risks that could negatively impact the business.",,
261b4f3104b667b0,"For example, as Artificial Intelligence (""AI"") continues to evolve, cyber-attackers could also use AI to develop malicious code and sophisticated phishing attempts.",,
44d7c31c28c959bb,"If we fail to successfully integrate artificial intelligence AI technologies into our platform and business processes, or if we fail to keep pace with rapidly evolving AI technological developments, including attracting and retaining talented AI developers and programmers, we may face a competitive disadvantage.",,
46e1b9ad1f277df1,"In addition, some of these competitors may be able to respond more quickly to new or changing opportunities, technologies, and customer requirements such as generative artificial intelligence.",,
105f3b5a348c31a2,"Plan of Operation We devote substantial efforts to enter into new-emerging application industries of Internet Technology, Artificial Intelligence (AI) and the Internet of Things (IOT).",,
fb4b9603ea271969,"Utilize its latest assets acquisitions, Avant mission is to provide innovative and e ective AI solutions that transform businesses and positively impact society.",,
c62211ff7097220b,"We aim to leverage cutting-edge technologies, including AI, to drive innovation and streamline operations.",,
2153b3611b08a0dd,We expect our first AI-ECG cloud-based algorithm to be a low ejection fraction (LVEF 40) algorithm licensed from Mount Sinai.,,
703a4df057c7962e,"Results from a study titled, Novel data preprocessing techniques in an expanded dataset improve machine learning model accuracy for a non-invasive blood glucose monitor.",,
fdb99198a922d06b,"In order to grow and remain competitive, we will need to adapt to changes in available technology, including, but not limited to, artificial intelligence and machine learning, continually invest in our 5G Network Deployment, increase 5G Network capacity, enhance our existing service offerings and introduce new offerings to meet our current and potential subscribers changing service demands.",,
4941c433e4d29fa2,"Additionally, we are making, and plan to make in the future, investments in adopting artificial intelligence and machine learning technologies across our business.",,
412035fa29ff320d,"For example, nowadays a major number of software, hardware, services and in general technological solutions vendors are including AI components for a very wide range of applications; and we may find improvement opportunities by developing and applying AI in several of our business and operational processes.",,
da7844803014596f,"We intend to build discrete ML- AI models that target fee optimization, income fraud, acquisition targeting, loan stacking, prepayment prediction, identity fraud and time-delimited default prediction.",,
96ccb97abfee2987,"We are committed to providing a safe and secure environment for all of our personnel, our business partners and our customers, including the responsible use of AI chatbots and generative AI data processor products AI Systems .",,
feb865e23343b02a,Conduct data analysis and AI required to build the disease detection compound libraries suitable for use with the AMMST.,,
060535d5cb5631a3,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",,
a07133e18416473b,These clients are consciously evaluating potential areas where AI-enabled technologies could be utilized in the future.,,
116cce8be541d373,"In particular, we seek not only to deliver size recommendations but to provide a robust, end-to-end,artificial intelligence, or AI-driven platform that inspires consumer confidence and drives revenue growth by providing a superior consumer journey to both online and the brick and mortar stores.",,
a050f9b9f840cc0e,We are also actively exploring the integration of generative AI into our institutions various student processes.,,
049e5552d70dfab9,"From endpoint devices to data centers, generative AI applications will drive the need for higher speed and higher bandwidth networks, while increasing the requirements for our precision timing solutions.",,
340853d709783eff,"The opportunity to collect data points over time could enable the development of business and insurance liability benchmarking, and through AI, powerful guidance for perpetual safety improvement (and associated cost savings capture).",,
a3f1242ab8a7dfaf,We believe that by integrating leading products in biomechanical research we sourced through Motek (with which we have an exclusive distribution agreement) with our advanced robotics and other AI-based innovative products we could leverage clinical results with data insights to help transform protocols and processes in the industry related to human performance and movement disorders leading to solid growth potential in this important market segment in the next 5-10 years.,,
b15fd04cb076182e,"The ongoing development of AI and machine learning, algorithms, sensors, and flight control systems paves the way for fully autonomous eVTOL services in the future.",,
77f0b2ec300e4501,"IoTT, which is an acronym for Internet of Things Tech, is our wholly-owned subsidiary which, with the signing of the joint venture agreement with the AI company cross-Ing, is planning to provide a series of data platforms for all sports programmed in the joint venture agreement, and no longer just a platform for our SSGs related to soccer.",,
43b894bc1c17b4ac,Private AI: This solution enables organizations to use generative AI technologies while addressing privacy and compliance needs of the organization.,,
270704644e71247c,"Through deep learning of user behavior characteristics, accurately assess risk levels, effectively improve the efficiency and accuracy of risk control, and escort international business.",,
4fdd921567262aa7,"Moreover, we expect our expenses to increase significantly in connection with our ongoing activities, including the continuing increase in our technological capabilities with respect to IoT, machine learning, and artificial intelligence.",,
9f0d06a89f4bbb0e,"Overview Roadzen Inc. is a leading Insurtech company on a mission to transform global auto insurance powered by advanced artificial intelligence (""AI"").",,
0bf13880cb85d5e2,"We believe other approaches based on machine learning, or other artificial intelligence methodologies are potentially viable alternatives but are likely too costly, do not meet current compliance timelines, and may defy the core of COPPA's opt-in parameters.",,
53a1fb9f3581539c,"Our proposed plan of operation and prospects will depend largely upon our ability to successfully establish a noticeable presence in the Artificial Intelligence, Machine Learning, Robotics, and digital assets industry on a timely fashion, retain and continue to hire skilled management, technical, marketing and other personnel; and attract and retain significant numbers of quality business partners.",,
0ab24d03c8239142,"Additionally, the proliferation of generative AI applications is expected to accelerate the creation of digital content such as text, images and video over the long-term.",,
2a30230716d75abb,"Illustrative examples include: Enhancements to ratings quality and product extensions Investments that extend ownership and participation in joint ventures and strategic alliances Expansion in emerging markets New products, services, content and technology capabilities, including Gen AI, to meet customer demands Selective bolt-on acquisitions that accelerate the ability to scale and grow Moody's businesses In this era of exponential risk, we know that risks are interconnected, and organizations want a complete view of risk.",,
9f2e0abc3d1825e6,"In addition, we are already seeing AI and the symmetric transfer of data and analytics drive massive new requirements in network capacity and latency and expect this to increase significantly over time.",,
b51c6dc9a0672e7e,"The use of artificial intelligence AI , data analytics, and other technologies are expected in the future to become a key component in the administration and management of health plans and health care delivery.",,
94c97b681df168d2,We also believe the introduction of generative AI signifies a transformative era that is set to drive growth for us and our clients.,,
cc12d57c8ccc862b,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",,
7fab53d2bfb6746d,"While we will give priority to companies in technology, internet, and consumer sectors, we will have no specific industry restriction, and we plan on exploring opportunities in enterprise services, artificial intelligence, culture and media, biotechnology, new consumer brands, blockchain and other areas that show the interest of investors.",,
1caba59621ec70a2,AFG may utilize artificial intelligence and machine learning AI in its business or incorporate AI into its products and services.,,
90ba28c2f0ee3b75,As we grow our ARTAS hair restoration business and expand robotics offerings through the AI.ME platform we expect our penetration into the core practices of dermatology and plastic surgery to increase.,,
1a074f393fc0c04a,We believe that one of the most significant drivers of longer-term wearable display market adoption that will change the future of computing and result in broad adoption of AR in smaller wearable packages will be the augmentation of the real world with cloud-based information and AI.,,
02889477d45ae650,The Company may adopt and integrate generative artificial intelligence tools into our systems for specific use cases reviewed by legal and information security.,,
0f6afdf1fd8a2f76,Our ultimate vision for askROI is to create a one-stop-shop for individuals and businesses to access generative AI products.,,
c461cbc7fa420b4d,"These development opportunities are available through live employee events like Technology Days dedicated to exploring new ideas, such as Generative AI.",,
a04147d1eb865224,"By affirming our development path and product road map, we expect to file several new patents for novel technologies which we expect to launch in the future, including next generation electric tankless technologies along which will be designed to work with technologies that are able to employ artificial intelligence to help reduce water and energy consumption.",,
887b5b7b3f92667d,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",,
8879d1d385f10adf,"Our global strategy is to deliver higher value by focusing on the following strategic priorities: Invest in high-growth technologies such as hybrid cloud, security, data analytics, artificial intelligence (""AI""), hyperscale infrastructure, and services.",,
